COUNTRY	Albania	Angola	Argentina	Australia	Austria	Bangladesh	Belgium	Bhutan	Brazil	Bulgaria	Burkina Faso	Canada	Cape+Verde	Chile	China	China, Hong Kong SAR	Colombia	Costa Rica	Croatia	Czech Republic	Denmark	Dominican Republic	Ecuador	Egypt	El Salvador	Estonia	Ethiopia	Fiji	Finland	France	Germany	Ghana	Greece	Guatemala	Honduras	Hungary	Iceland	India	Indonesia	Iran	Iraq	Ireland	Israel	Italy	Jamaica	Japan	Jordan	Kenya	Kuwait	Latvia	Lebanon	Libya	Lithuania	Luxembourg	Malawi	Malaysia	Malta	Mexico	Morocco	Mozambique	Namibia	Nepal	Netherlands	New Zealand	Nigeria	Norway	Pakistan	Panama	Peru	Philippines	Poland	Portugal	Romania	Russia	Saudi Arabia	Senegal	Serbia	Sierra Leone	Singapore	Slovakia	Slovenia	South Africa	South+Sudan	Spain	Sri Lanka	Suriname	Sweden	Switzerland	Syria	Taiwan	Tanzania	Thailand	Trinidad and Tobago	Turkey	Ukraine	United Arab Emirates	United Kingdom	United States	Uruguay	Venezuela	Viet Nam	Zambia
Burkina Faso	0.75	0.83	0.33	0.17	0.27	0.75	0.20	0.29	0.39	0.50	1.00	0.19	0.75	0.65	0.75	0.60	1.15	1.00	0.45	0.26	0.20	0.50	1.88	0.60	0.79	0.25	0.75	1.07	0.24	0.21	0.22	1.00	0.43	2.50	0.75	0.19	0.25	0.31	1.07	0.37	0.50	0.21	0.28	0.20	0.38	0.33	0.50	0.60	0.60	0.21	0.38	0.39	0.25	0.25	0.50	0.58	0.25	0.50	0.33	1.00	0.50	0.50	0.19	0.19	0.50	0.22	1.07	1.36	0.94	0.47	0.25	0.56	0.50	0.38	0.60	0.60	0.60	0.75	0.75	0.29	0.56	0.23	0.83	0.29	0.43	0.32	0.21	0.22	0.43	0.88	0.60	0.75	0.94	0.41	0.60	0.60	0.17	0.16	0.42	1.25	0.75	0.43
Canada	4.00	4.44	1.74	0.89	1.45	4.00	1.07	1.54	2.11	2.67	5.33	1.00	4.00	3.48	4.00	3.20	6.15	5.33	2.42	1.38	1.08	2.67	10.00	3.20	4.21	1.33	4.00	5.71	1.27	1.13	1.19	5.33	2.29	13.33	4.00	1.00	1.33	1.67	5.71	1.95	2.67	1.14	1.48	1.05	2.05	1.74	2.67	3.20	3.20	1.14	2.00	2.11	1.33	1.33	2.67	3.08	1.36	2.67	1.74	5.33	2.67	2.67	1.00	1.01	2.67	1.16	5.71	7.27	5.00	2.50	1.33	2.96	2.67	2.05	3.20	3.20	3.20	4.00	4.00	1.54	2.96	1.23	4.44	1.57	2.29	1.70	1.13	1.18	2.29	4.71	3.20	4.00	5.00	2.16	3.20	3.20	0.90	0.88	2.22	6.67	4.00	2.29
Cape+Verde	1.00	1.11	0.43	0.22	0.36	1.00	0.27	0.38	0.53	0.67	1.33	0.25	1.00	0.87	1.00	0.80	1.54	1.33	0.61	0.34	0.27	0.67	2.50	0.80	1.05	0.33	1.00	1.43	0.32	0.28	0.30	1.33	0.57	3.33	1.00	0.25	0.33	0.42	1.43	0.49	0.67	0.29	0.37	0.26	0.51	0.43	0.67	0.80	0.80	0.29	0.50	0.53	0.33	0.33	0.67	0.77	0.34	0.67	0.43	1.33	0.67	0.67	0.25	0.25	0.67	0.29	1.43	1.82	1.25	0.62	0.33	0.74	0.67	0.51	0.80	0.80	0.80	1.00	1.00	0.38	0.74	0.31	1.11	0.39	0.57	0.43	0.28	0.29	0.57	1.18	0.80	1.00	1.25	0.54	0.80	0.80	0.22	0.22	0.56	1.67	1.00	0.57
Chile	1.15	1.28	0.50	0.26	0.42	1.15	0.31	0.44	0.61	0.77	1.53	0.29	1.15	1.00	1.15	0.92	1.77	1.53	0.70	0.40	0.31	0.77	2.88	0.92	1.21	0.38	1.15	1.64	0.37	0.32	0.34	1.53	0.66	3.83	1.15	0.29	0.38	0.48	1.64	0.56	0.77	0.33	0.43	0.30	0.59	0.50	0.77	0.92	0.92	0.33	0.57	0.61	0.38	0.38	0.77	0.88	0.39	0.77	0.50	1.53	0.77	0.77	0.29	0.29	0.77	0.33	1.64	2.09	1.44	0.72	0.38	0.85	0.77	0.59	0.92	0.92	0.92	1.15	1.15	0.44	0.85	0.35	1.28	0.45	0.66	0.49	0.32	0.34	0.66	1.35	0.92	1.15	1.44	0.62	0.92	0.92	0.26	0.25	0.64	1.92	1.15	0.66
China	1.00	1.11	0.43	0.22	0.36	1.00	0.27	0.38	0.53	0.67	1.33	0.25	1.00	0.87	1.00	0.80	1.54	1.33	0.61	0.34	0.27	0.67	2.50	0.80	1.05	0.33	1.00	1.43	0.32	0.28	0.30	1.33	0.57	3.33	1.00	0.25	0.33	0.42	1.43	0.49	0.67	0.29	0.37	0.26	0.51	0.43	0.67	0.80	0.80	0.29	0.50	0.53	0.33	0.33	0.67	0.77	0.34	0.67	0.43	1.33	0.67	0.67	0.25	0.25	0.67	0.29	1.43	1.82	1.25	0.62	0.33	0.74	0.67	0.51	0.80	0.80	0.80	1.00	1.00	0.38	0.74	0.31	1.11	0.39	0.57	0.43	0.28	0.29	0.57	1.18	0.80	1.00	1.25	0.54	0.80	0.80	0.22	0.22	0.56	1.67	1.00	0.57
China, Hong Kong SAR	1.25	1.39	0.54	0.28	0.45	1.25	0.33	0.48	0.66	0.83	1.67	0.31	1.25	1.09	1.25	1.00	1.92	1.67	0.76	0.43	0.34	0.83	3.12	1.00	1.32	0.42	1.25	1.79	0.40	0.35	0.37	1.67	0.71	4.17	1.25	0.31	0.42	0.52	1.79	0.61	0.83	0.36	0.46	0.33	0.64	0.54	0.83	1.00	1.00	0.36	0.62	0.66	0.42	0.42	0.83	0.96	0.42	0.83	0.54	1.67	0.83	0.83	0.31	0.32	0.83	0.36	1.79	2.27	1.56	0.78	0.42	0.93	0.83	0.64	1.00	1.00	1.00	1.25	1.25	0.48	0.93	0.38	1.39	0.49	0.71	0.53	0.35	0.37	0.71	1.47	1.00	1.25	1.56	0.68	1.00	1.00	0.28	0.27	0.69	2.08	1.25	0.71
Colombia	0.65	0.72	0.28	0.14	0.24	0.65	0.17	0.25	0.34	0.43	0.87	0.16	0.65	0.57	0.65	0.52	1.00	0.87	0.39	0.22	0.18	0.43	1.62	0.52	0.68	0.22	0.65	0.93	0.21	0.18	0.19	0.87	0.37	2.17	0.65	0.16	0.22	0.27	0.93	0.32	0.43	0.19	0.24	0.17	0.33	0.28	0.43	0.52	0.52	0.19	0.33	0.34	0.22	0.22	0.43	0.50	0.22	0.43	0.28	0.87	0.43	0.43	0.16	0.16	0.43	0.19	0.93	1.18	0.81	0.41	0.22	0.48	0.43	0.33	0.52	0.52	0.52	0.65	0.65	0.25	0.48	0.20	0.72	0.25	0.37	0.28	0.18	0.19	0.37	0.76	0.52	0.65	0.81	0.35	0.52	0.52	0.15	0.14	0.36	1.08	0.65	0.37
Costa Rica	0.75	0.83	0.33	0.17	0.27	0.75	0.20	0.29	0.39	0.50	1.00	0.19	0.75	0.65	0.75	0.60	1.15	1.00	0.45	0.26	0.20	0.50	1.88	0.60	0.79	0.25	0.75	1.07	0.24	0.21	0.22	1.00	0.43	2.50	0.75	0.19	0.25	0.31	1.07	0.37	0.50	0.21	0.28	0.20	0.38	0.33	0.50	0.60	0.60	0.21	0.38	0.39	0.25	0.25	0.50	0.58	0.25	0.50	0.33	1.00	0.50	0.50	0.19	0.19	0.50	0.22	1.07	1.36	0.94	0.47	0.25	0.56	0.50	0.38	0.60	0.60	0.60	0.75	0.75	0.29	0.56	0.23	0.83	0.29	0.43	0.32	0.21	0.22	0.43	0.88	0.60	0.75	0.94	0.41	0.60	0.60	0.17	0.16	0.42	1.25	0.75	0.43
Croatia	1.65	1.83	0.72	0.37	0.60	1.65	0.44	0.63	0.87	1.10	2.20	0.41	1.65	1.43	1.65	1.32	2.54	2.20	1.00	0.57	0.45	1.10	4.12	1.32	1.74	0.55	1.65	2.36	0.52	0.46	0.49	2.20	0.94	5.50	1.65	0.41	0.55	0.69	2.36	0.80	1.10	0.47	0.61	0.43	0.85	0.72	1.10	1.32	1.32	0.47	0.82	0.87	0.55	0.55	1.10	1.27	0.56	1.10	0.72	2.20	1.10	1.10	0.41	0.42	1.10	0.48	2.36	3.00	2.06	1.03	0.55	1.22	1.10	0.85	1.32	1.32	1.32	1.65	1.65	0.63	1.22	0.51	1.83	0.65	0.94	0.70	0.46	0.49	0.94	1.94	1.32	1.65	2.06	0.89	1.32	1.32	0.37	0.36	0.92	2.75	1.65	0.94
Czech Republic	2.90	3.22	1.26	0.64	1.05	2.90	0.77	1.12	1.53	1.93	3.87	0.72	2.90	2.52	2.90	2.32	4.46	3.87	1.76	1.00	0.78	1.93	7.25	2.32	3.05	0.97	2.90	4.14	0.92	0.82	0.87	3.87	1.66	9.67	2.90	0.72	0.97	1.21	4.14	1.41	1.93	0.83	1.07	0.76	1.49	1.26	1.93	2.32	2.32	0.83	1.45	1.53	0.97	0.97	1.93	2.23	0.98	1.93	1.26	3.87	1.93	1.93	0.72	0.73	1.93	0.84	4.14	5.27	3.62	1.81	0.97	2.15	1.93	1.49	2.32	2.32	2.32	2.90	2.90	1.12	2.15	0.89	3.22	1.14	1.66	1.23	0.82	0.85	1.66	3.41	2.32	2.90	3.62	1.57	2.32	2.32	0.65	0.64	1.61	4.83	2.90	1.66
