COUNTRY	Albania	Angola	Argentina	Australia	Austria	Bangladesh	Belgium	Bhutan	Brazil	Bulgaria	Burkina Faso	Canada	Cape+Verde	Chile	China	China, Hong Kong SAR	Colombia	Costa Rica	Croatia	Czech Republic	Denmark	Dominican Republic	Ecuador	Egypt	El Salvador	Estonia	Ethiopia	Fiji	Finland	France	Germany	Ghana	Greece	Guatemala	Honduras	Hungary	Iceland	India	Indonesia	Iran	Iraq	Ireland	Israel	Italy	Jamaica	Japan	Jordan	Kenya	Kuwait	Latvia	Lebanon	Libya	Lithuania	Luxembourg	Malawi	Malaysia	Malta	Mexico	Morocco	Mozambique	Namibia	Nepal	Netherlands	New Zealand	Nigeria	Norway	Pakistan	Panama	Peru	Philippines	Poland	Portugal	Romania	Russia	Saudi Arabia	Senegal	Serbia	Sierra Leone	Singapore	Slovakia	Slovenia	South Africa	South+Sudan	Spain	Sri Lanka	Suriname	Sweden	Switzerland	Syria	Taiwan	Tanzania	Thailand	Trinidad and Tobago	Turkey	Ukraine	United Arab Emirates	United Kingdom	United States	Uruguay	Venezuela	Viet Nam	Zambia
Lithuania	3.00	3.33	1.30	0.67	1.09	3.00	0.80	1.15	1.58	2.00	4.00	0.75	3.00	2.61	3.00	2.40	4.62	4.00	1.82	1.03	0.81	2.00	7.50	2.40	3.16	1.00	3.00	4.29	0.95	0.85	0.90	4.00	1.71	10.00	3.00	0.75	1.00	1.25	4.29	1.46	2.00	0.86	1.11	0.79	1.54	1.30	2.00	2.40	2.40	0.86	1.50	1.58	1.00	1.00	2.00	2.31	1.02	2.00	1.30	4.00	2.00	2.00	0.75	0.76	2.00	0.87	4.29	5.45	3.75	1.88	1.00	2.22	2.00	1.54	2.40	2.40	2.40	3.00	3.00	1.15	2.22	0.92	3.33	1.18	1.71	1.28	0.85	0.88	1.71	3.53	2.40	3.00	3.75	1.62	2.40	2.40	0.67	0.66	1.67	5.00	3.00	1.71
Luxembourg	3.00	3.33	1.30	0.67	1.09	3.00	0.80	1.15	1.58	2.00	4.00	0.75	3.00	2.61	3.00	2.40	4.62	4.00	1.82	1.03	0.81	2.00	7.50	2.40	3.16	1.00	3.00	4.29	0.95	0.85	0.90	4.00	1.71	10.00	3.00	0.75	1.00	1.25	4.29	1.46	2.00	0.86	1.11	0.79	1.54	1.30	2.00	2.40	2.40	0.86	1.50	1.58	1.00	1.00	2.00	2.31	1.02	2.00	1.30	4.00	2.00	2.00	0.75	0.76	2.00	0.87	4.29	5.45	3.75	1.88	1.00	2.22	2.00	1.54	2.40	2.40	2.40	3.00	3.00	1.15	2.22	0.92	3.33	1.18	1.71	1.28	0.85	0.88	1.71	3.53	2.40	3.00	3.75	1.62	2.40	2.40	0.67	0.66	1.67	5.00	3.00	1.71
Malawi	1.50	1.67	0.65	0.33	0.55	1.50	0.40	0.58	0.79	1.00	2.00	0.38	1.50	1.30	1.50	1.20	2.31	2.00	0.91	0.52	0.41	1.00	3.75	1.20	1.58	0.50	1.50	2.14	0.48	0.42	0.45	2.00	0.86	5.00	1.50	0.38	0.50	0.62	2.14	0.73	1.00	0.43	0.56	0.39	0.77	0.65	1.00	1.20	1.20	0.43	0.75	0.79	0.50	0.50	1.00	1.15	0.51	1.00	0.65	2.00	1.00	1.00	0.38	0.38	1.00	0.43	2.14	2.73	1.88	0.94	0.50	1.11	1.00	0.77	1.20	1.20	1.20	1.50	1.50	0.58	1.11	0.46	1.67	0.59	0.86	0.64	0.42	0.44	0.86	1.76	1.20	1.50	1.88	0.81	1.20	1.20	0.34	0.33	0.83	2.50	1.50	0.86
Malaysia	1.30	1.44	0.57	0.29	0.47	1.30	0.35	0.50	0.68	0.87	1.73	0.33	1.30	1.13	1.30	1.04	2.00	1.73	0.79	0.45	0.35	0.87	3.25	1.04	1.37	0.43	1.30	1.86	0.41	0.37	0.39	1.73	0.74	4.33	1.30	0.33	0.43	0.54	1.86	0.63	0.87	0.37	0.48	0.34	0.67	0.57	0.87	1.04	1.04	0.37	0.65	0.68	0.43	0.43	0.87	1.00	0.44	0.87	0.57	1.73	0.87	0.87	0.33	0.33	0.87	0.38	1.86	2.36	1.62	0.81	0.43	0.96	0.87	0.67	1.04	1.04	1.04	1.30	1.30	0.50	0.96	0.40	1.44	0.51	0.74	0.55	0.37	0.38	0.74	1.53	1.04	1.30	1.62	0.70	1.04	1.04	0.29	0.29	0.72	2.17	1.30	0.74
Malta	2.95	3.28	1.28	0.66	1.07	2.95	0.79	1.13	1.55	1.97	3.93	0.74	2.95	2.57	2.95	2.36	4.54	3.93	1.79	1.02	0.80	1.97	7.38	2.36	3.11	0.98	2.95	4.21	0.94	0.83	0.88	3.93	1.69	9.83	2.95	0.74	0.98	1.23	4.21	1.44	1.97	0.84	1.09	0.78	1.51	1.28	1.97	2.36	2.36	0.84	1.48	1.55	0.98	0.98	1.97	2.27	1.00	1.97	1.28	3.93	1.97	1.97	0.74	0.75	1.97	0.86	4.21	5.36	3.69	1.84	0.98	2.19	1.97	1.51	2.36	2.36	2.36	2.95	2.95	1.13	2.19	0.91	3.28	1.16	1.69	1.26	0.83	0.87	1.69	3.47	2.36	2.95	3.69	1.59	2.36	2.36	0.66	0.65	1.64	4.92	2.95	1.69
Mexico	1.50	1.67	0.65	0.33	0.55	1.50	0.40	0.58	0.79	1.00	2.00	0.38	1.50	1.30	1.50	1.20	2.31	2.00	0.91	0.52	0.41	1.00	3.75	1.20	1.58	0.50	1.50	2.14	0.48	0.42	0.45	2.00	0.86	5.00	1.50	0.38	0.50	0.62	2.14	0.73	1.00	0.43	0.56	0.39	0.77	0.65	1.00	1.20	1.20	0.43	0.75	0.79	0.50	0.50	1.00	1.15	0.51	1.00	0.65	2.00	1.00	1.00	0.38	0.38	1.00	0.43	2.14	2.73	1.88	0.94	0.50	1.11	1.00	0.77	1.20	1.20	1.20	1.50	1.50	0.58	1.11	0.46	1.67	0.59	0.86	0.64	0.42	0.44	0.86	1.76	1.20	1.50	1.88	0.81	1.20	1.20	0.34	0.33	0.83	2.50	1.50	0.86
Morocco	2.30	2.56	1.00	0.51	0.84	2.30	0.61	0.88	1.21	1.53	3.07	0.57	2.30	2.00	2.30	1.84	3.54	3.07	1.39	0.79	0.62	1.53	5.75	1.84	2.42	0.77	2.30	3.29	0.73	0.65	0.69	3.07	1.31	7.67	2.30	0.57	0.77	0.96	3.29	1.12	1.53	0.66	0.85	0.61	1.18	1.00	1.53	1.84	1.84	0.66	1.15	1.21	0.77	0.77	1.53	1.77	0.78	1.53	1.00	3.07	1.53	1.53	0.57	0.58	1.53	0.67	3.29	4.18	2.88	1.44	0.77	1.70	1.53	1.18	1.84	1.84	1.84	2.30	2.30	0.88	1.70	0.71	2.56	0.90	1.31	0.98	0.65	0.68	1.31	2.71	1.84	2.30	2.88	1.24	1.84	1.84	0.52	0.51	1.28	3.83	2.30	1.31
Mozambique	0.75	0.83	0.33	0.17	0.27	0.75	0.20	0.29	0.39	0.50	1.00	0.19	0.75	0.65	0.75	0.60	1.15	1.00	0.45	0.26	0.20	0.50	1.88	0.60	0.79	0.25	0.75	1.07	0.24	0.21	0.22	1.00	0.43	2.50	0.75	0.19	0.25	0.31	1.07	0.37	0.50	0.21	0.28	0.20	0.38	0.33	0.50	0.60	0.60	0.21	0.38	0.39	0.25	0.25	0.50	0.58	0.25	0.50	0.33	1.00	0.50	0.50	0.19	0.19	0.50	0.22	1.07	1.36	0.94	0.47	0.25	0.56	0.50	0.38	0.60	0.60	0.60	0.75	0.75	0.29	0.56	0.23	0.83	0.29	0.43	0.32	0.21	0.22	0.43	0.88	0.60	0.75	0.94	0.41	0.60	0.60	0.17	0.16	0.42	1.25	0.75	0.43
Namibia	1.50	1.67	0.65	0.33	0.55	1.50	0.40	0.58	0.79	1.00	2.00	0.38	1.50	1.30	1.50	1.20	2.31	2.00	0.91	0.52	0.41	1.00	3.75	1.20	1.58	0.50	1.50	2.14	0.48	0.42	0.45	2.00	0.86	5.00	1.50	0.38	0.50	0.62	2.14	0.73	1.00	0.43	0.56	0.39	0.77	0.65	1.00	1.20	1.20	0.43	0.75	0.79	0.50	0.50	1.00	1.15	0.51	1.00	0.65	2.00	1.00	1.00	0.38	0.38	1.00	0.43	2.14	2.73	1.88	0.94	0.50	1.11	1.00	0.77	1.20	1.20	1.20	1.50	1.50	0.58	1.11	0.46	1.67	0.59	0.86	0.64	0.42	0.44	0.86	1.76	1.20	1.50	1.88	0.81	1.20	1.20	0.34	0.33	0.83	2.50	1.50	0.86
Nepal	1.50	1.67	0.65	0.33	0.55	1.50	0.40	0.58	0.79	1.00	2.00	0.38	1.50	1.30	1.50	1.20	2.31	2.00	0.91	0.52	0.41	1.00	3.75	1.20	1.58	0.50	1.50	2.14	0.48	0.42	0.45	2.00	0.86	5.00	1.50	0.38	0.50	0.62	2.14	0.73	1.00	0.43	0.56	0.39	0.77	0.65	1.00	1.20	1.20	0.43	0.75	0.79	0.50	0.50	1.00	1.15	0.51	1.00	0.65	2.00	1.00	1.00	0.38	0.38	1.00	0.43	2.14	2.73	1.88	0.94	0.50	1.11	1.00	0.77	1.20	1.20	1.20	1.50	1.50	0.58	1.11	0.46	1.67	0.59	0.86	0.64	0.42	0.44	0.86	1.76	1.20	1.50	1.88	0.81	1.20	1.20	0.34	0.33	0.83	2.50	1.50	0.86
Netherlands	4.00	4.44	1.74	0.89	1.45	4.00	1.07	1.54	2.11	2.67	5.33	1.00	4.00	3.48	4.00	3.20	6.15	5.33	2.42	1.38	1.08	2.67	10.00	3.20	4.21	1.33	4.00	5.71	1.27	1.13	1.19	5.33	2.29	13.33	4.00	1.00	1.33	1.67	5.71	1.95	2.67	1.14	1.48	1.05	2.05	1.74	2.67	3.20	3.20	1.14	2.00	2.11	1.33	1.33	2.67	3.08	1.36	2.67	1.74	5.33	2.67	2.67	1.00	1.01	2.67	1.16	5.71	7.27	5.00	2.50	1.33	2.96	2.67	2.05	3.20	3.20	3.20	4.00	4.00	1.54	2.96	1.23	4.44	1.57	2.29	1.70	1.13	1.18	2.29	4.71	3.20	4.00	5.00	2.16	3.20	3.20	0.90	0.88	2.22	6.67	4.00	2.29
New Zealand	3.95	4.39	1.72	0.88	1.44	3.95	1.05	1.52	2.08	2.63	5.27	0.99	3.95	3.43	3.95	3.16	6.08	5.27	2.39	1.36	1.07	2.63	9.88	3.16	4.16	1.32	3.95	5.64	1.25	1.11	1.18	5.27	2.26	13.17	3.95	0.99	1.32	1.65	5.64	1.93	2.63	1.13	1.46	1.04	2.03	1.72	2.63	3.16	3.16	1.13	1.98	2.08	1.32	1.32	2.63	3.04	1.34	2.63	1.72	5.27	2.63	2.63	0.99	1.00	2.63	1.14	5.64	7.18	4.94	2.47	1.32	2.93	2.63	2.03	3.16	3.16	3.16	3.95	3.95	1.52	2.93	1.22	4.39	1.55	2.26	1.68	1.11	1.16	2.26	4.65	3.16	3.95	4.94	2.14	3.16	3.16	0.89	0.87	2.19	6.58	3.95	2.26
Nigeria	1.50	1.67	0.65	0.33	0.55	1.50	0.40	0.58	0.79	1.00	2.00	0.38	1.50	1.30	1.50	1.20	2.31	2.00	0.91	0.52	0.41	1.00	3.75	1.20	1.58	0.50	1.50	2.14	0.48	0.42	0.45	2.00	0.86	5.00	1.50	0.38	0.50	0.62	2.14	0.73	1.00	0.43	0.56	0.39	0.77	0.65	1.00	1.20	1.20	0.43	0.75	0.79	0.50	0.50	1.00	1.15	0.51	1.00	0.65	2.00	1.00	1.00	0.38	0.38	1.00	0.43	2.14	2.73	1.88	0.94	0.50	1.11	1.00	0.77	1.20	1.20	1.20	1.50	1.50	0.58	1.11	0.46	1.67	0.59	0.86	0.64	0.42	0.44	0.86	1.76	1.20	1.50	1.88	0.81	1.20	1.20	0.34	0.33	0.83	2.50	1.50	0.86
Norway	3.45	3.83	1.50	0.77	1.25	3.45	0.92	1.33	1.82	2.30	4.60	0.86	3.45	3.00	3.45	2.76	5.31	4.60	2.09	1.19	0.93	2.30	8.62	2.76	3.63	1.15	3.45	4.93	1.10	0.97	1.03	4.60	1.97	11.50	3.45	0.86	1.15	1.44	4.93	1.68	2.30	0.99	1.28	0.91	1.77	1.50	2.30	2.76	2.76	0.99	1.73	1.82	1.15	1.15	2.30	2.65	1.17	2.30	1.50	4.60	2.30	2.30	0.86	0.87	2.30	1.00	4.93	6.27	4.31	2.16	1.15	2.56	2.30	1.77	2.76	2.76	2.76	3.45	3.45	1.33	2.56	1.06	3.83	1.35	1.97	1.47	0.97	1.01	1.97	4.06	2.76	3.45	4.31	1.86	2.76	2.76	0.78	0.76	1.92	5.75	3.45	1.97
Pakistan	0.70	0.78	0.30	0.16	0.25	0.70	0.19	0.27	0.37	0.47	0.93	0.17	0.70	0.61	0.70	0.56	1.08	0.93	0.42	0.24	0.19	0.47	1.75	0.56	0.74	0.23	0.70	1.00	0.22	0.20	0.21	0.93	0.40	2.33	0.70	0.17	0.23	0.29	1.00	0.34	0.47	0.20	0.26	0.18	0.36	0.30	0.47	0.56	0.56	0.20	0.35	0.37	0.23	0.23	0.47	0.54	0.24	0.47	0.30	0.93	0.47	0.47	0.17	0.18	0.47	0.20	1.00	1.27	0.88	0.44	0.23	0.52	0.47	0.36	0.56	0.56	0.56	0.70	0.70	0.27	0.52	0.22	0.78	0.27	0.40	0.30	0.20	0.21	0.40	0.82	0.56	0.70	0.88	0.38	0.56	0.56	0.16	0.15	0.39	1.17	0.70	0.40
Panama	0.55	0.61	0.24	0.12	0.20	0.55	0.15	0.21	0.29	0.37	0.73	0.14	0.55	0.48	0.55	0.44	0.85	0.73	0.33	0.19	0.15	0.37	1.38	0.44	0.58	0.18	0.55	0.79	0.17	0.15	0.16	0.73	0.31	1.83	0.55	0.14	0.18	0.23	0.79	0.27	0.37	0.16	0.20	0.14	0.28	0.24	0.37	0.44	0.44	0.16	0.28	0.29	0.18	0.18	0.37	0.42	0.19	0.37	0.24	0.73	0.37	0.37	0.14	0.14	0.37	0.16	0.79	1.00	0.69	0.34	0.18	0.41	0.37	0.28	0.44	0.44	0.44	0.55	0.55	0.21	0.41	0.17	0.61	0.22	0.31	0.23	0.15	0.16	0.31	0.65	0.44	0.55	0.69	0.30	0.44	0.44	0.12	0.12	0.31	0.92	0.55	0.31
Peru	0.80	0.89	0.35	0.18	0.29	0.80	0.21	0.31	0.42	0.53	1.07	0.20	0.80	0.70	0.80	0.64	1.23	1.07	0.48	0.28	0.22	0.53	2.00	0.64	0.84	0.27	0.80	1.14	0.25	0.23	0.24	1.07	0.46	2.67	0.80	0.20	0.27	0.33	1.14	0.39	0.53	0.23	0.30	0.21	0.41	0.35	0.53	0.64	0.64	0.23	0.40	0.42	0.27	0.27	0.53	0.62	0.27	0.53	0.35	1.07	0.53	0.53	0.20	0.20	0.53	0.23	1.14	1.45	1.00	0.50	0.27	0.59	0.53	0.41	0.64	0.64	0.64	0.80	0.80	0.31	0.59	0.25	0.89	0.31	0.46	0.34	0.23	0.24	0.46	0.94	0.64	0.80	1.00	0.43	0.64	0.64	0.18	0.18	0.44	1.33	0.80	0.46
Philippines	1.60	1.78	0.70	0.36	0.58	1.60	0.43	0.62	0.84	1.07	2.13	0.40	1.60	1.39	1.60	1.28	2.46	2.13	0.97	0.55	0.43	1.07	4.00	1.28	1.68	0.53	1.60	2.29	0.51	0.45	0.48	2.13	0.91	5.33	1.60	0.40	0.53	0.67	2.29	0.78	1.07	0.46	0.59	0.42	0.82	0.70	1.07	1.28	1.28	0.46	0.80	0.84	0.53	0.53	1.07	1.23	0.54	1.07	0.70	2.13	1.07	1.07	0.40	0.41	1.07	0.46	2.29	2.91	2.00	1.00	0.53	1.19	1.07	0.82	1.28	1.28	1.28	1.60	1.60	0.62	1.19	0.49	1.78	0.63	0.91	0.68	0.45	0.47	0.91	1.88	1.28	1.60	2.00	0.86	1.28	1.28	0.36	0.35	0.89	2.67	1.60	0.91
Poland	3.00	3.33	1.30	0.67	1.09	3.00	0.80	1.15	1.58	2.00	4.00	0.75	3.00	2.61	3.00	2.40	4.62	4.00	1.82	1.03	0.81	2.00	7.50	2.40	3.16	1.00	3.00	4.29	0.95	0.85	0.90	4.00	1.71	10.00	3.00	0.75	1.00	1.25	4.29	1.46	2.00	0.86	1.11	0.79	1.54	1.30	2.00	2.40	2.40	0.86	1.50	1.58	1.00	1.00	2.00	2.31	1.02	2.00	1.30	4.00	2.00	2.00	0.75	0.76	2.00	0.87	4.29	5.45	3.75	1.88	1.00	2.22	2.00	1.54	2.40	2.40	2.40	3.00	3.00	1.15	2.22	0.92	3.33	1.18	1.71	1.28	0.85	0.88	1.71	3.53	2.40	3.00	3.75	1.62	2.40	2.40	0.67	0.66	1.67	5.00	3.00	1.71
Portugal	1.35	1.50	0.59	0.30	0.49	1.35	0.36	0.52	0.71	0.90	1.80	0.34	1.35	1.17	1.35	1.08	2.08	1.80	0.82	0.47	0.36	0.90	3.38	1.08	1.42	0.45	1.35	1.93	0.43	0.38	0.40	1.80	0.77	4.50	1.35	0.34	0.45	0.56	1.93	0.66	0.90	0.39	0.50	0.36	0.69	0.59	0.90	1.08	1.08	0.39	0.68	0.71	0.45	0.45	0.90	1.04	0.46	0.90	0.59	1.80	0.90	0.90	0.34	0.34	0.90	0.39	1.93	2.45	1.69	0.84	0.45	1.00	0.90	0.69	1.08	1.08	1.08	1.35	1.35	0.52	1.00	0.42	1.50	0.53	0.77	0.57	0.38	0.40	0.77	1.59	1.08	1.35	1.69	0.73	1.08	1.08	0.30	0.30	0.75	2.25	1.35	0.77
Romania	1.50	1.67	0.65	0.33	0.55	1.50	0.40	0.58	0.79	1.00	2.00	0.38	1.50	1.30	1.50	1.20	2.31	2.00	0.91	0.52	0.41	1.00	3.75	1.20	1.58	0.50	1.50	2.14	0.48	0.42	0.45	2.00	0.86	5.00	1.50	0.38	0.50	0.62	2.14	0.73	1.00	0.43	0.56	0.39	0.77	0.65	1.00	1.20	1.20	0.43	0.75	0.79	0.50	0.50	1.00	1.15	0.51	1.00	0.65	2.00	1.00	1.00	0.38	0.38	1.00	0.43	2.14	2.73	1.88	0.94	0.50	1.11	1.00	0.77	1.20	1.20	1.20	1.50	1.50	0.58	1.11	0.46	1.67	0.59	0.86	0.64	0.42	0.44	0.86	1.76	1.20	1.50	1.88	0.81	1.20	1.20	0.34	0.33	0.83	2.50	1.50	0.86
Russia	1.95	2.17	0.85	0.43	0.71	1.95	0.52	0.75	1.03	1.30	2.60	0.49	1.95	1.70	1.95	1.56	3.00	2.60	1.18	0.67	0.53	1.30	4.88	1.56	2.05	0.65	1.95	2.79	0.62	0.55	0.58	2.60	1.11	6.50	1.95	0.49	0.65	0.81	2.79	0.95	1.30	0.56	0.72	0.51	1.00	0.85	1.30	1.56	1.56	0.56	0.97	1.03	0.65	0.65	1.30	1.50	0.66	1.30	0.85	2.60	1.30	1.30	0.49	0.49	1.30	0.57	2.79	3.55	2.44	1.22	0.65	1.44	1.30	1.00	1.56	1.56	1.56	1.95	1.95	0.75	1.44	0.60	2.17	0.76	1.11	0.83	0.55	0.57	1.11	2.29	1.56	1.95	2.44	1.05	1.56	1.56	0.44	0.43	1.08	3.25	1.95	1.11
Saudi Arabia	1.25	1.39	0.54	0.28	0.45	1.25	0.33	0.48	0.66	0.83	1.67	0.31	1.25	1.09	1.25	1.00	1.92	1.67	0.76	0.43	0.34	0.83	3.12	1.00	1.32	0.42	1.25	1.79	0.40	0.35	0.37	1.67	0.71	4.17	1.25	0.31	0.42	0.52	1.79	0.61	0.83	0.36	0.46	0.33	0.64	0.54	0.83	1.00	1.00	0.36	0.62	0.66	0.42	0.42	0.83	0.96	0.42	0.83	0.54	1.67	0.83	0.83	0.31	0.32	0.83	0.36	1.79	2.27	1.56	0.78	0.42	0.93	0.83	0.64	1.00	1.00	1.00	1.25	1.25	0.48	0.93	0.38	1.39	0.49	0.71	0.53	0.35	0.37	0.71	1.47	1.00	1.25	1.56	0.68	1.00	1.00	0.28	0.27	0.69	2.08	1.25	0.71
Senegal	1.25	1.39	0.54	0.28	0.45	1.25	0.33	0.48	0.66	0.83	1.67	0.31	1.25	1.09	1.25	1.00	1.92	1.67	0.76	0.43	0.34	0.83	3.12	1.00	1.32	0.42	1.25	1.79	0.40	0.35	0.37	1.67	0.71	4.17	1.25	0.31	0.42	0.52	1.79	0.61	0.83	0.36	0.46	0.33	0.64	0.54	0.83	1.00	1.00	0.36	0.62	0.66	0.42	0.42	0.83	0.96	0.42	0.83	0.54	1.67	0.83	0.83	0.31	0.32	0.83	0.36	1.79	2.27	1.56	0.78	0.42	0.93	0.83	0.64	1.00	1.00	1.00	1.25	1.25	0.48	0.93	0.38	1.39	0.49	0.71	0.53	0.35	0.37	0.71	1.47	1.00	1.25	1.56	0.68	1.00	1.00	0.28	0.27	0.69	2.08	1.25	0.71
Serbia	1.25	1.39	0.54	0.28	0.45	1.25	0.33	0.48	0.66	0.83	1.67	0.31	1.25	1.09	1.25	1.00	1.92	1.67	0.76	0.43	0.34	0.83	3.12	1.00	1.32	0.42	1.25	1.79	0.40	0.35	0.37	1.67	0.71	4.17	1.25	0.31	0.42	0.52	1.79	0.61	0.83	0.36	0.46	0.33	0.64	0.54	0.83	1.00	1.00	0.36	0.62	0.66	0.42	0.42	0.83	0.96	0.42	0.83	0.54	1.67	0.83	0.83	0.31	0.32	0.83	0.36	1.79	2.27	1.56	0.78	0.42	0.93	0.83	0.64	1.00	1.00	1.00	1.25	1.25	0.48	0.93	0.38	1.39	0.49	0.71	0.53	0.35	0.37	0.71	1.47	1.00	1.25	1.56	0.68	1.00	1.00	0.28	0.27	0.69	2.08	1.25	0.71
Sierra Leone	1.00	1.11	0.43	0.22	0.36	1.00	0.27	0.38	0.53	0.67	1.33	0.25	1.00	0.87	1.00	0.80	1.54	1.33	0.61	0.34	0.27	0.67	2.50	0.80	1.05	0.33	1.00	1.43	0.32	0.28	0.30	1.33	0.57	3.33	1.00	0.25	0.33	0.42	1.43	0.49	0.67	0.29	0.37	0.26	0.51	0.43	0.67	0.80	0.80	0.29	0.50	0.53	0.33	0.33	0.67	0.77	0.34	0.67	0.43	1.33	0.67	0.67	0.25	0.25	0.67	0.29	1.43	1.82	1.25	0.62	0.33	0.74	0.67	0.51	0.80	0.80	0.80	1.00	1.00	0.38	0.74	0.31	1.11	0.39	0.57	0.43	0.28	0.29	0.57	1.18	0.80	1.00	1.25	0.54	0.80	0.80	0.22	0.22	0.56	1.67	1.00	0.57
Singapore	1.00	1.11	0.43	0.22	0.36	1.00	0.27	0.38	0.53	0.67	1.33	0.25	1.00	0.87	1.00	0.80	1.54	1.33	0.61	0.34	0.27	0.67	2.50	0.80	1.05	0.33	1.00	1.43	0.32	0.28	0.30	1.33	0.57	3.33	1.00	0.25	0.33	0.42	1.43	0.49	0.67	0.29	0.37	0.26	0.51	0.43	0.67	0.80	0.80	0.29	0.50	0.53	0.33	0.33	0.67	0.77	0.34	0.67	0.43	1.33	0.67	0.67	0.25	0.25	0.67	0.29	1.43	1.82	1.25	0.62	0.33	0.74	0.67	0.51	0.80	0.80	0.80	1.00	1.00	0.38	0.74	0.31	1.11	0.39	0.57	0.43	0.28	0.29	0.57	1.18	0.80	1.00	1.25	0.54	0.80	0.80	0.22	0.22	0.56	1.67	1.00	0.57
Slovakia	2.60	2.89	1.13	0.58	0.95	2.60	0.69	1.00	1.37	1.73	3.47	0.65	2.60	2.26	2.60	2.08	4.00	3.47	1.58	0.90	0.70	1.73	6.50	2.08	2.74	0.87	2.60	3.71	0.83	0.73	0.78	3.47	1.49	8.67	2.60	0.65	0.87	1.08	3.71	1.27	1.73	0.74	0.96	0.68	1.33	1.13	1.73	2.08	2.08	0.74	1.30	1.37	0.87	0.87	1.73	2.00	0.88	1.73	1.13	3.47	1.73	1.73	0.65	0.66	1.73	0.75	3.71	4.73	3.25	1.62	0.87	1.93	1.73	1.33	2.08	2.08	2.08	2.60	2.60	1.00	1.93	0.80	2.89	1.02	1.49	1.11	0.73	0.76	1.49	3.06	2.08	2.60	3.25	1.41	2.08	2.08	0.58	0.57	1.44	4.33	2.60	1.49
Slovenia	1.35	1.50	0.59	0.30	0.49	1.35	0.36	0.52	0.71	0.90	1.80	0.34	1.35	1.17	1.35	1.08	2.08	1.80	0.82	0.47	0.36	0.90	3.38	1.08	1.42	0.45	1.35	1.93	0.43	0.38	0.40	1.80	0.77	4.50	1.35	0.34	0.45	0.56	1.93	0.66	0.90	0.39	0.50	0.36	0.69	0.59	0.90	1.08	1.08	0.39	0.68	0.71	0.45	0.45	0.90	1.04	0.46	0.90	0.59	1.80	0.90	0.90	0.34	0.34	0.90	0.39	1.93	2.45	1.69	0.84	0.45	1.00	0.90	0.69	1.08	1.08	1.08	1.35	1.35	0.52	1.00	0.42	1.50	0.53	0.77	0.57	0.38	0.40	0.77	1.59	1.08	1.35	1.69	0.73	1.08	1.08	0.30	0.30	0.75	2.25	1.35	0.77
South Africa	3.25	3.61	1.41	0.72	1.18	3.25	0.87	1.25	1.71	2.17	4.33	0.81	3.25	2.83	3.25	2.60	5.00	4.33	1.97	1.12	0.88	2.17	8.12	2.60	3.42	1.08	3.25	4.64	1.03	0.92	0.97	4.33	1.86	10.83	3.25	0.81	1.08	1.35	4.64	1.59	2.17	0.93	1.20	0.86	1.67	1.41	2.17	2.60	2.60	0.93	1.62	1.71	1.08	1.08	2.17	2.50	1.10	2.17	1.41	4.33	2.17	2.17	0.81	0.82	2.17	0.94	4.64	5.91	4.06	2.03	1.08	2.41	2.17	1.67	2.60	2.60	2.60	3.25	3.25	1.25	2.41	1.00	3.61	1.27	1.86	1.38	0.92	0.96	1.86	3.82	2.60	3.25	4.06	1.76	2.60	2.60	0.73	0.71	1.81	5.42	3.25	1.86
South+Sudan	0.90	1.00	0.39	0.20	0.33	0.90	0.24	0.35	0.47	0.60	1.20	0.23	0.90	0.78	0.90	0.72	1.38	1.20	0.55	0.31	0.24	0.60	2.25	0.72	0.95	0.30	0.90	1.29	0.29	0.25	0.27	1.20	0.51	3.00	0.90	0.23	0.30	0.38	1.29	0.44	0.60	0.26	0.33	0.24	0.46	0.39	0.60	0.72	0.72	0.26	0.45	0.47	0.30	0.30	0.60	0.69	0.31	0.60	0.39	1.20	0.60	0.60	0.23	0.23	0.60	0.26	1.29	1.64	1.12	0.56	0.30	0.67	0.60	0.46	0.72	0.72	0.72	0.90	0.90	0.35	0.67	0.28	1.00	0.35	0.51	0.38	0.25	0.26	0.51	1.06	0.72	0.90	1.12	0.49	0.72	0.72	0.20	0.20	0.50	1.50	0.90	0.51
Spain	2.55	2.83	1.11	0.57	0.93	2.55	0.68	0.98	1.34	1.70	3.40	0.64	2.55	2.22	2.55	2.04	3.92	3.40	1.55	0.88	0.69	1.70	6.38	2.04	2.68	0.85	2.55	3.64	0.81	0.72	0.76	3.40	1.46	8.50	2.55	0.64	0.85	1.06	3.64	1.24	1.70	0.73	0.94	0.67	1.31	1.11	1.70	2.04	2.04	0.73	1.27	1.34	0.85	0.85	1.70	1.96	0.86	1.70	1.11	3.40	1.70	1.70	0.64	0.65	1.70	0.74	3.64	4.64	3.19	1.59	0.85	1.89	1.70	1.31	2.04	2.04	2.04	2.55	2.55	0.98	1.89	0.78	2.83	1.00	1.46	1.09	0.72	0.75	1.46	3.00	2.04	2.55	3.19	1.38	2.04	2.04	0.57	0.56	1.42	4.25	2.55	1.46
