COUNTRY	Argentina	Aruba	Australia	Austria	Bahamas, The	Bahrain, Kingdom of	Barbados	Belgium	Bermuda	Bolivia	Brazil	Bulgaria	Canada	Cayman Islands	Chile	China, P.R.: Hong Kong	China, P.R.: Macao	Colombia	Costa Rica	Curacao and Sint Maarten	Cyprus	Czech Republic	Denmark	Egypt	Estonia	Finland	France	Germany	Gibraltar	Greece	Guernsey	Hungary	Iceland	India	Indonesia	Ireland	Isle of Man	Israel	Italy	Japan	Jersey	Kazakhstan	Korea, Republic of	Kosovo	Kuwait	Latvia	Lebanon	Lithuania	Luxembourg	Malaysia	Malta	Mauritius	Mexico	Mongolia	Netherlands	New Zealand	Norway	Pakistan	Panama	Philippines	Poland	Portugal	Romania	Russian Federation	Singapore	Slovak Republic	Slovenia	South Africa	Spain	Sweden	Switzerland	Thailand	Turkey	Ukraine	United Kingdom	United States	Uruguay	Venezuela, República Bolivariana de	SEFER + SSIO (**)	Value of Total Investment
Timor-Leste, Dem. Rep. of	0 		C 	0 			0 		0 		0 	0 			0 	0 		0 			0 		0 	0 		0 		0 			0 				0 	0 	0 			0 		0 	0 	0 				0 	0 					0 	0 				0 		0 	0 		0 	C 				0 	0 	0 		0 		0 	0 		0 	0 	0 
Togo	0 		0 	0 			0 		0 		0 	0 			0 	5 		0 		1 	3 		0 	0 		0 		0 			0 				0 	0 	0 			0 	3 	0 	0 	0 				0 	17 			19 		0 	0 				0 		0 	0 		0 			0 		0 	0 	0 		0 		0 	2 		0 	0 	50 
Tokelau Islands	0 		0 	0 			0 	0 	0 		0 	0 			0 	0 		0 			0 		0 	0 		0 		0 			0 				0 	379 	0 			0 		0 	0 	0 				0 	18 					0 	0 				0 		0 	0 		0 			0 		0 	0 	0 		0 		0 	0 		0 	0 	398 
Tonga	0 		0 	0 			0 		0 		0 	0 			0 	0 		0 			0 		0 	0 		0 		0 			0 				0 	0 	0 			0 		0 	0 	0 				0 	0 					0 	0 				0 		0 	0 		0 			0 		0 	0 	0 		0 		0 	0 		0 	0 	0 
Trinidad and Tobago	0 		0 	23 			1 		145 		0 	0 	28 	83 	3 	C 		0 	12 	10 	0 		72 	0 		0 		120 			27 			0 	0 	39 	0 		5 	162 		0 	0 	0 				0 	110 					0 	22 		7 		15 		0 	0 		0 			0 		0 	0 	0 		0 		50 	1146 	0 	0 	C 	2081 
Tunisia	0 		0 	131 		46 	0 	9 	73 		0 	0 	3 		0 	3 		0 			8 		13 	3 		0 	336 	435 		0 	11 				0 	217 	0 		115 	946 	93 	0 	0 	0 	187 		0 	1 	43 			6 		0 	82 	C 			0 		0 	0 		0 	C 		0 		C 	0 	0 		0 		515 	446 		0 	C 	3720 
Turkey	0 		487 	762 		9484 	0 	341 	1611 		0 	31 	837 	24 	2 	314 	1 	0 	3 	7 	6 	28 	1442 	71 	35 	142 	2849 	3743 		1209 	593 	28 	1 	4 	8 	2951 	2 	3 	805 	3849 	3108 	0 	213 	0 	877 	2 	22 	4 	11916 	35 	9619 	37 		0 	4025 	C 	1749 		2 		226 	0 	0 	22 	C 	7 	14 	25 	C 	782 	567 	0 			15616 	28684 	0 	0 	C 	109227 
Turkmenistan	0 		0 	0 			0 		0 		0 	0 			0 	0 		0 			0 		0 	0 		0 		0 			0 				0 	0 	0 			0 	15 	0 	0 	0 				0 	0 					0 	0 				0 		0 	0 		0 			0 		0 	1 	0 		0 		4 	0 		0 	0 	21 
Turks and Caicos Islands	0 		0 	0 			0 	1 	0 		56 	0 			0 	0 		0 			0 		0 	0 		0 		0 			0 				0 	8 	0 		2 	3 		0 	0 	0 				0 	9 					0 	0 				0 		0 	0 		0 			0 		0 	0 	0 		0 		3 	119 		0 	0 	201 
Tuvalu	0 		0 	0 			0 		0 		0 	0 			0 	0 		0 			0 		0 	0 		0 		0 			0 				0 	0 	0 			0 		0 	0 	0 				0 	0 					0 	0 				0 		0 	0 		0 			0 		0 	0 	0 		0 		0 	0 		0 	0 	0 
Uganda	0 		0 	0 			0 		0 		0 	0 			0 	0 		0 			0 		0 	0 		0 		0 			2 				0 	10 	0 			0 	6 	0 	0 	0 				0 	11 			32 		0 	0 		5 		0 		0 	0 		0 	C 		0 	0 	0 	0 	1 		0 		69 	17 		0 	0 	153 
Ukraine	0 		C 	138 		1 	0 	1 	31 		0 	5 	115 	50 	0 	10 		0 			7 	3 	245 	0 	4 	C 	95 	238 		387 	317 	1 	3 		0 	36 	0 		140 	127 	12 	0 	0 	0 		23 	1 	4 	2565 			1 		0 	563 		0 		0 	0 	30 	0 	C 	77 	C 	8 	0 		C 	22 	36 		2 		938 	3120 	0 	0 	0 	9356 
United Arab Emirates	0 		36 	242 	1 	2255 	0 	59 	445 		2 	3 	283 		0 	730 	31 	0 		1 	63 	5 	208 	0 	1 	0 	600 	770 	1 	10 	873 	2 	0 	1 	2 	888 	0 		145 	795 	1866 	0 	86 	0 	2699 		391 	0 	2487 	402 		78 		0 	267 	C 	138 	12 	5 	0 	C 	0 		6 	C 	14 	5 	1 	C 	0 	40 	432 	0 		5725 	0 	0 	0 	C 	23105 
United Kingdom	8 	6 	48809 	19618 	256 	2102 	1297 	35505 	30276 	39 	199 	75 	59438 	747 	1786 	62603 	1111 	257 	91 	361 	12755 	844 	22998 	187 	120 	20238 	203077 	202237 	1185 	30175 	38579 	135 	785 	36 	367 	338501 	19058 	2775 	72875 	229812 	53308 	2815 	6078 	0 	1954 	108 	1253 	43 	204415 	2268 	2277 	490 	119 	4 	122915 	2563 	98555 	27 	86 	491 	C 	9229 	232 	4748 	39664 	2147 	656 	70278 	29288 	45957 	67860 	325 	651 	53 		989273 	148 	1 	227639 	3449242 
United States	17602 	353 	201239 	24303 	653 	6356 	9042 	38544 	290935 	166 	8424 	202 	423801 	23036 	46244 	74129 	1307 	11269 	405 	3287 	942 	1837 	68934 	1575 	234 	22959 	207353 	202464 	139 	3965 	37914 	1251 	1750 	143 	1508 	568078 	1836 	38863 	83929 	1168353 	44719 	27300 	36852 	22 	2654 	259 	3191 	90 	510488 	10115 	931 	1242 	38635 	9 	320650 	11622 	181230 	4 	4009 	1596 	501 	8820 	87 	1681 	164980 	835 	1150 	20802 	29840 	100307 	167221 	3819 	105 		879606 		1494 	5142 	2340889 	8518220 
Uruguay	4 		C 	43 	21 	1 	0 	0 	580 		120 	0 	71 		2 	8 		0 	8 	83 	0 	2 	311 	0 		C 	21 	384 		0 	184 				0 	83 	0 		57 	1088 	2 	0 	0 	0 		0 		0 	1796 					0 	431 				0 		0 	0 		0 	C 	1 	0 		C 	0 	19 	1 	0 		105 	2262 		0 	0 	7688 
US Pacific Islands	0 		0 	0 			0 		48 		0 	0 			0 	0 		0 			0 		0 	0 		0 		0 			0 				0 		0 			0 	17 	0 	0 	0 				0 	0 					0 	0 		1 		0 		0 	0 		0 			0 		0 	0 	0 		0 		0 	0 		0 	0 	66 
