COUNTRY	Argentina	Aruba	Australia	Austria	Bahamas, The	Bahrain, Kingdom of	Barbados	Belgium	Bermuda	Brazil	Bulgaria	Canada	Cayman Islands	Chile	China, P.R.: Hong Kong	China, P.R.: Macao	Colombia	Costa Rica	Cyprus	Czech Republic	Denmark	Egypt	Estonia	Finland	France	Germany	Gibraltar	Greece	Guernsey	Hungary	Iceland	India	Indonesia	Ireland	Isle of Man	Israel	Italy	Japan	Jersey	Kazakhstan	Korea, Republic of	Kuwait	Lebanon	Luxembourg	Malaysia	Malta	Mauritius	Mexico	Netherlands	Netherlands Antilles	New Zealand	Norway	Pakistan	Panama	Philippines	Poland	Portugal	Romania	Russian Federation	Singapore	Slovak Republic	South Africa	Spain	Sweden	Switzerland	Thailand	Turkey	Ukraine	United Kingdom	United States	Uruguay	Venezuela, República Bolivariana de	SEFER + SSIO (**)	Value of Total Investment
Canada	9 	0 	3385 	1771 	319 	25 	126 	1840 	2741 	11 	0 		637 	39 	8335 	102 	12 	0 	409 	91 	1537 	17 	3 	263 	12459 	8623 	15 	27 	1006 	3 	60 	0 	2 	15694 	51 	49 	2736 	34679 	2011 	84 	59 	2 	11 	24982 	12 	41 	0 		7045 	75 	297 	5274 		4 	8 	58 	102 		0 	2683 	5 	40 	1638 	2193 	8856 	0 	5 		14858 	344669 	60 	0 	C 	512148 
Cabo Verde	0 	0 		0 	0 	0 		0 	0 	0 	0 	0 		0 	0 		0 		0 		0 				0 	0 						0 		0 		0 	0 	0 					0 	0 		0 			0 	0 					0 	0 	0 		0 		0 	0 	0 		0 	0 			0 	0 	0 	0 	C 	0 
Cayman Islands	0 	0 	C 	8935 	156 	5231 	11 	3665 	19352 	593 	0 	7211 		115 	47355 	486 	53 	11 	64 	548 	1345 	3 	2 	1808 	49901 	22307 		1553 	12003 	0 	12 	0 	79 	13049 	1777 	124 	21325 	268262 	19783 	14 	2668 	559 	6 	43248 	13 	212 	427 	341 	13349 	9070 		2015 		125 	18 	112 	14719 		1 	4047 	50 	43 	29091 	1654 	26687 	13 	23 		83303 	195677 	16 	2 	C 	934620 
Central African Republic	0 	0 		0 	0 	0 		0 	0 		0 	0 		0 	0 		0 		0 		0 				0 	0 						0 		0 		0 		0 	6 				0 	0 		0 			0 	0 					0 	0 	0 		0 		0 	0 	0 		0 	0 			0 	0 	0 	0 		6 
Chad	0 	0 		0 	0 	0 		0 	0 		0 	0 		0 	0 		0 		0 		0 				0 	0 						0 		0 		0 		0 					0 	0 		0 			0 	0 					0 	0 	0 		0 		0 	0 	0 		0 	0 			0 	0 	0 	0 		0 
Chile	28 	0 	C 	61 	44 	0 	41 	22 	104 	2 	0 	52 	163 		117 	0 	1 	1 	14 		87 	0 	3 		100 	259 			548 			0 		99 		0 	131 	216 	62 		3 		0 	720 		0 	73 		327 	0 		35 		59 	0 	0 	0 		0 		0 	0 	163 	24 	31 	0 			772 	11598 	2 	2 	C 	15964 
China, P.R.: Hong Kong	0 	0 	1749 	158 	1 	2 	1 	209 	348 	0 	0 	3174 	1 	1 		1967 	0 		1 	0 	860 	2 	0 	347 	4513 	1242 	2 	3 	608 	2 	97 	1 	56 	3853 	57 	45 	951 	9660 	319 	10 	282 	10 	1 	9512 	157 	0 	2440 		4325 	5 	42 	585 			57 	0 	0 		0 	8744 	0 	8 	33 	1168 	965 	48 			29090 	37350 	0 	0 	C 	125062 
China, P.R.: Macao	0 	0 		0 	0 	0 		0 	0 		0 	0 		0 	125 		0 		0 		0 				0 	0 						0 		0 		0 		0 					0 	2 		0 			0 	0 					0 	0 	0 		0 		0 	0 	0 		0 	0 			0 	0 	0 	0 		127 
China, P.R.: Mainland	1 	0 	C 	105 	0 	0 		84 	7 	0 	0 	602 	0 	1 	28128 	334 	0 	0 	63 	3 	374 	0 		195 	1785 	745 		1 	89 	1 	2 	0 	0 	805 	29 	14 	519 	4723 	120 		122 		0 	3824 	6 	0 	1111 		1137 	0 		162 		0 	2 	C 	0 		0 	3454 	0 	2 	32 	153 	275 	11 	0 		6383 	12723 	0 	0 	C 	68130 
Christmas Island	0 	0 		0 	0 	0 		0 	0 		0 	0 		0 	0 		0 		0 		0 				0 	0 						0 		0 		0 		0 			25 		0 	0 		0 			0 	0 					0 	0 	0 		0 		0 	0 	0 			0 			0 	0 	0 	0 		25 
Cocos (Keeling) Islands	0 	0 		0 	0 	0 		36 	0 		0 	0 		0 	0 		0 		0 		0 				0 	0 						0 		0 		0 		0 					0 	0 		0 			0 	0 					0 	0 	0 		0 		0 	0 	0 			0 			0 	0 	0 	0 		36 
Colombia	4 	0 	C 	71 	55 	0 	16 	4 	25 	8 	0 	25 	83 	25 	0 			5 	0 	0 	357 			4 	124 	347 		1 	109 			0 		74 		0 	405 	253 	23 				0 	627 		0 		0 	372 	0 		1 		452 	1 	0 	0 		0 		18 	0 	89 	0 	56 	0 	2 		670 	4455 	2 	0 		8764 
Comoros	0 	0 		0 	0 	0 		0 	0 		0 	0 		0 	0 		0 		0 		0 				0 	0 						0 		0 		0 		0 					0 	0 		0 	0 		0 	0 					0 	0 	0 		0 		0 	0 	0 		0 	0 			0 	0 	0 	0 		0 
Congo, Democratic Republic of	0 	0 		0 	0 	0 		2 	0 		0 	0 		0 	0 		0 		0 		0 				4 	0 						0 		0 		0 		0 					0 	0 		0 			0 	0 					0 	0 	0 		0 		0 	0 	0 		0 	0 			C 	0 	0 	0 		5 
Congo, Republic of	0 	0 		0 	0 	0 		0 	0 		0 	0 		0 	0 		0 		0 		0 				0 	0 						0 		0 		0 		0 					0 	0 		0 			0 	0 					0 	0 	0 		0 		0 	0 	0 		0 	0 			0 	0 	0 	0 		0 
Cook Islands	0 	0 		0 	0 	0 		0 	0 		0 	0 		0 	0 		0 		0 		0 				0 	0 						0 		0 	25 	0 		0 					0 	0 		0 			0 	0 					0 	0 	0 		0 		0 	0 	0 			0 			0 	0 	0 	0 		26 
Costa Rica	1 	0 		8 	34 	0 		0 	1 	5 	0 	0 	1 	0 	3 		0 		0 		5 				2 	15 						0 		0 		0 	0 	2 	6 				0 	13 		0 			0 	0 		7 		574 	1 	0 	0 		0 		0 	0 	0 		2 	0 			C 	260 	0 	0 		942 
Cote d'Ivoire	0 	0 		1 	0 	0 		7 	0 		0 	2 		0 	20 		0 		22 	0 	29 				51 	10 						0 		53 		0 	4 	0 	8 				0 	40 		0 	5 		10 	0 					0 	0 	0 		0 		0 	0 	0 		356 	0 			C 	98 	0 	0 	C 	714 
