COUNTRY	Argentina	Aruba	Australia	Austria	Bahamas, The	Bahrain, Kingdom of	Barbados	Belgium	Bermuda	Brazil	Bulgaria	Canada	Cayman Islands	Chile	China, P.R.: Hong Kong	China, P.R.: Macao	Colombia	Costa Rica	Cyprus	Czech Republic	Denmark	Egypt	Estonia	Finland	France	Germany	Gibraltar	Greece	Guernsey	Hungary	Iceland	India	Indonesia	Ireland	Isle of Man	Israel	Italy	Japan	Jersey	Kazakhstan	Korea, Republic of	Kuwait	Latvia	Lebanon	Luxembourg	Malaysia	Malta	Mauritius	Mexico	Netherlands	Netherlands Antilles	New Zealand	Norway	Pakistan	Panama	Philippines	Poland	Portugal	Romania	Russian Federation	Singapore	Slovak Republic	South Africa	Spain	Sweden	Switzerland	Thailand	Turkey	Ukraine	United Kingdom	United States	Uruguay	Venezuela, República Bolivariana de	SEFER + SSIO (**)	Value of Total Investment
Nauru	0 		0 	0 					0 	0 	0 	0 		0 	0 				0 		0 	0 				0 			0 					0 	0 			0 		0 	0 				0 					0 		0 			0 		0 	0 	0 	0 				0 	0 	0 				0 	0 		0 	0 	0 
Nepal	0 		0 	0 					7 	0 	0 	0 		0 	0 				0 		0 	0 			1 	0 			0 			0 		0 	0 			0 		0 	0 				0 			36 		0 		0 			0 		0 	0 	0 	0 				0 	0 	0 				0 	0 		0 	0 	45 
Netherlands	15 	16 	13948 	19702 	7 	571 	509 	95782 	5737 	97 	179 	7758 	191 	164 	10761 	695 	200 	93 	1594 	2625 	6487 	56 	327 	10496 	248210 	175173 	137 	1904 	2980 	352 	172 		558 	63361 	135 	449 	74787 	74953 	20459 	1553 	1300 	138 	33 	95 	113583 	107 	474 	373 	305 		900 	0 	15840 	0 	21 	151 	381 	10321 	64 	2483 	5508 	899 	31 	57013 	9845 	57236 	140 	17 		126093 	169342 	34 	2294 	101569 	1519781 
Netherlands Antilles	0 	35 	C 	983 	21 	2 	0 	3721 	72 	0 	14 	557 	95 	0 	342 	1 		10 	33 	67 	110 	0 	1 	251 	54077 	3062 	6 	96 	239 	16 			3 	427 	8 	10 	2001 	11405 	71 	8 	1 			2 	4307 	0 		30 		1517 		0 	306 		0 		C 	248 	10 	2 				2001 	202 	2440 				1380 	38474 	4 	0 	C 	128665 
New Zealand	0 		3542 	33 	10 	76 	6 	106 	64 	0 	0 	706 	34 	0 	784 	2 	6 		36 		20 	2 		0 	129 	487 	19 	0 	42 	1 	0 	0 		451 	3 	9 	10 	4033 	891 	1 	6 	4 			3734 	4 		0 		237 	1 		332 		0 		C 	13 	0 	0 	575 		1 	C 	196 	598 	151 			3360 	12240 		0 	C 	32955 
Nicaragua	0 		0 	0 					0 	0 	0 	0 		0 	C 				0 		13 	0 				0 			0 					4 	0 		12 	0 		0 	0 				61 					1 		0 	1 		20 		0 	0 	0 	0 				0 	0 	0 				0 	1 		0 	0 	113 
Niger	0 		0 	0 					0 	0 	0 	0 		0 	0 				0 		0 	0 				0 			0 					0 	0 			0 		0 	0 		5 		0 	1 				0 		0 			0 		0 	0 	0 	0 			3 	0 	0 	0 				5 	2 		0 	0 	16 
Nigeria	0 		0 	0 				4 	0 	0 	0 	7 		0 	53 				0 		23 	6 			4 	7 			105 			0 		58 	0 		102 	0 		0 	1 			0 	120 			590 		46 		0 			0 		0 	0 	0 	0 			90 	C 	7 	1 				770 			0 	0 	1993 
Niue	0 		0 	0 					0 	0 	0 	0 		0 	0 				0 		0 	0 				0 			0 					0 	0 			0 		0 	0 			0 	0 					0 		0 			0 		0 	0 	0 	0 				0 	0 					0 	0 		0 	0 	1 
Norfolk Island	0 		0 	0 					0 	0 	0 	0 		0 	0 				0 		0 	0 				0 			0 					0 	0 			0 		0 	0 				0 					0 		0 			0 		0 	0 	0 	0 				0 	0 					61 	0 		0 	0 	61 
Norway	0 	1 	702 	3116 	4 	174 	105 	1830 	834 	430 	26 	1579 	69 	20 	2892 	95 	13 	0 	467 	142 	5827 	0 	67 	3043 	8402 	20102 	42 	49 	1272 	2 	504 	2 		7355 	65 	25 	1930 	31052 	1860 	113 	79 		29 	0 	13509 	15 	76 			5315 	27 	0 			4 	0 	3 	619 	11 	1 	1050 	25 	1 	1556 	12947 	7760 	25 	4 		16953 	33349 		0 	C 	187569 
Oman	0 		0 	26 		112 			0 	0 	0 	2 		0 	6 				0 		6 	0 		0 	36 	43 			20 					15 	0 		0 	11 	39 	0 	2 	170 		36 	95 			2 		0 		0 	4 		0 		0 	0 	0 	0 				0 	0 	0 				87 			0 	0 	712 
Pakistan	0 		3 	10 		155 		0 	0 	0 	0 	6 	9 	0 	74 				0 		39 	1 		C 	7 	4 			20 					25 	1 		3 	22 	1 	0 	3 	93 	0 	0 	270 			1159 		39 		0 	3 		0 	0 	0 	0 	0 	0 				0 	1 	4 		0 		92 	631 		0 	C 	2676 
Palau	0 		0 	0 					0 	0 	0 	0 		0 	0 				0 		0 	0 				0 			0 					0 	0 			0 		0 	0 				0 					0 		0 			0 		0 	0 	0 	0 				0 	0 	0 				0 	0 		0 	0 	0 
Panama	0 	0 	2 	53 	37 			31 	39 	31 	0 	375 	12 	703 	154 		28 	15 	0 	0 	375 	0 		2 	120 	355 			16 	1 		0 		214 	1 		62 	331 	19 	1 	19 		0 	0 	877 			40 		514 	4 	0 	118 				0 	0 	0 	6 		1 		C 	14 	1116 				337 	14814 	2 	4 	C 	20841 
Papua New Guinea	0 	0 	C 	6 				1 	58 	0 	0 	118 		0 	26 	1 			0 		3 	0 		0 	69 	13 			5 		0 			136 	0 		0 	22 		0 	1 				526 	1 				32 		0 	113 		0 		0 	0 	0 	0 				C 	5 	53 				242 	1820 		0 	C 	3253 
Paraguay	0 		0 	0 					0 	22 	0 	0 		14 	C 				0 		0 	0 				0 			0 					0 	0 			0 		0 	0 				4 					0 		0 			0 		0 	0 	0 	0 			13 	0 	1 	0 				2 	3 	0 	0 	0 	59 
Peru	0 	0 	C 	64 	27 			31 	1 	1 	0 	107 	23 	877 	14 		4 	1 	14 	0 	377 	0 		0 	77 	515 		1 	72 	0 				292 	0 		81 	573 	17 	0 	4 		0 		991 					443 	14 	0 	26 		78 	0 	0 	0 	0 	0 		1 		C 	23 	80 	1 			780 	3576 	0 	0 	0 	9186 
Philippines	0 	0 	C 	110 	3 			24 	28 	0 	0 	317 		62 	707 	0 		0 	0 		627 	0 		0 	967 	619 		6 	591 		0 	0 	5 	533 	10 	5 	245 	1554 	20 	0 	48 	0 	1 	0 	1756 	196 		33 		871 	5 	0 	817 		0 		C 	0 	0 	0 	1953 	2 	1 	C 	14 	556 	2 			1726 	7097 	0 	0 	C 	21512 
