COUNTRY	Burkina_Faso	Cape_Verde	Dominican_Republic	Fiji	Honduras	Namibia	albania	angola	arab-emirates	argentina	australia	austria	bangladesh	belgium	bhutan	brazil	bulgaria	canada	chile	china	colombia	costa-rica	croatia	czech-republic	denmark	ecuador	egypt	el-salvador	estonia	ethiopia	finland	france	germany	ghana	greece	guatemala	hong-kong	hungary	iceland	india	indonesia	iran	iraq	ireland	israel	italy	jamaica	japan	jordan	kenya	kuwait	latvia	lebanon	libya	lithuania	luxemburg	malawi	malaysia	malta	mexico	morocco	mozambique	nepal	netherlands	new-zealand	nigeria	norway	pakistan	panama	peru	philippines	poland	portugal	romania	russia	saudi-arabia	senegal	serbia	sierra-leone	singapore	slovakia	slovenia	south-africa	south-korea	spain	sri_lanka	surinam	sweden	switzerland	syria	taiwan	tanzania	thailand	trinidad	turkey	ukraine	united-kingdom	united-states	uruguay	venezuela	vietnam	zambia
france	1.56	2.15	1.91	1.79	1.72	1.91	1.23	1.43	1.07	1.00	1.69	1.23	1.43	0.91	3.07	1.13	1.01	1.79	1.00	2.87	1.07	1.00	1.07	1.16	3.74	1.28	1.07	0.91	1.43	1.56	1.46	1.00	1.32	1.32	0.86	0.87	2.97	1.05	1.72	2.15	1.79	1.46	1.01	2.46	1.06	1.15	6.62	0.93	1.32	1.72	1.07	1.37	1.72	1.26	1.32	1.23	1.72	2.39	0.90	1.05	1.26	1.95	2.15	1.62	1.76	1.56	1.72	1.23	1.00	0.99	1.95	0.92	0.87	0.96	0.91	1.07	1.56	0.93	1.72	10.75	1.69	0.98	1.76	1.01	1.00	1.91	0.93	2.97	1.48	1.43	1.25	1.72	1.34	1.56	1.01	0.91	2.46	1.87	0.87	1.13	2.87	1.72
germany	1.18	1.62	1.44	1.35	1.30	1.44	0.93	1.08	0.81	0.76	1.27	0.93	1.08	0.69	2.32	0.86	0.76	1.35	0.76	2.17	0.81	0.76	0.81	0.88	2.83	0.97	0.81	0.69	1.08	1.18	1.10	0.76	1.00	1.00	0.65	0.66	2.24	0.79	1.30	1.62	1.35	1.10	0.76	1.86	0.80	0.87	5.00	0.71	1.00	1.30	0.81	1.03	1.30	0.96	1.00	0.93	1.30	1.81	0.68	0.79	0.96	1.48	1.62	1.23	1.33	1.18	1.30	0.93	0.76	0.75	1.48	0.70	0.66	0.72	0.68	0.81	1.18	0.71	1.30	8.12	1.27	0.74	1.33	0.76	0.76	1.44	0.71	2.24	1.12	1.08	0.94	1.30	1.02	1.18	0.76	0.68	1.86	1.41	0.66	0.86	2.17	1.30
ghana	1.18	1.62	1.44	1.35	1.30	1.44	0.93	1.08	0.81	0.76	1.27	0.93	1.08	0.69	2.32	0.86	0.76	1.35	0.76	2.17	0.81	0.76	0.81	0.88	2.83	0.97	0.81	0.69	1.08	1.18	1.10	0.76	1.00	1.00	0.65	0.66	2.24	0.79	1.30	1.62	1.35	1.10	0.76	1.86	0.80	0.87	5.00	0.71	1.00	1.30	0.81	1.03	1.30	0.96	1.00	0.93	1.30	1.81	0.68	0.79	0.96	1.48	1.62	1.23	1.33	1.18	1.30	0.93	0.76	0.75	1.48	0.70	0.66	0.72	0.68	0.81	1.18	0.71	1.30	8.12	1.27	0.74	1.33	0.76	0.76	1.44	0.71	2.24	1.12	1.08	0.94	1.30	1.02	1.18	0.76	0.68	1.86	1.41	0.66	0.86	2.17	1.30
greece	1.82	2.50	2.22	2.08	2.00	2.22	1.43	1.67	1.25	1.16	1.96	1.43	1.67	1.06	3.57	1.32	1.18	2.08	1.16	3.33	1.25	1.16	1.25	1.35	4.35	1.49	1.25	1.06	1.67	1.82	1.69	1.16	1.54	1.54	1.00	1.01	3.45	1.22	2.00	2.50	2.08	1.69	1.18	2.86	1.23	1.33	7.69	1.09	1.54	2.00	1.25	1.59	2.00	1.47	1.54	1.43	2.00	2.78	1.04	1.22	1.47	2.27	2.50	1.89	2.04	1.82	2.00	1.43	1.16	1.15	2.27	1.08	1.01	1.11	1.05	1.25	1.82	1.09	2.00	12.50	1.96	1.14	2.04	1.18	1.16	2.22	1.09	3.45	1.72	1.67	1.45	2.00	1.56	1.82	1.18	1.05	2.86	2.17	1.01	1.32	3.33	2.00
guatemala	1.80	2.48	2.20	2.06	1.98	2.20	1.41	1.65	1.24	1.15	1.94	1.41	1.65	1.05	3.54	1.30	1.16	2.06	1.15	3.30	1.24	1.15	1.24	1.34	4.30	1.48	1.24	1.05	1.65	1.80	1.68	1.15	1.52	1.52	0.99	1.00	3.41	1.21	1.98	2.48	2.06	1.68	1.16	2.83	1.22	1.32	7.62	1.08	1.52	1.98	1.24	1.57	1.98	1.46	1.52	1.41	1.98	2.75	1.03	1.21	1.46	2.25	2.48	1.87	2.02	1.80	1.98	1.41	1.15	1.14	2.25	1.06	1.00	1.10	1.04	1.24	1.80	1.08	1.98	12.38	1.94	1.12	2.02	1.16	1.15	2.20	1.08	3.41	1.71	1.65	1.43	1.98	1.55	1.80	1.16	1.04	2.83	2.15	1.00	1.30	3.30	1.98
hong-kong	0.53	0.72	0.64	0.60	0.58	0.64	0.41	0.48	0.36	0.34	0.57	0.41	0.48	0.31	1.04	0.38	0.34	0.60	0.34	0.97	0.36	0.34	0.36	0.39	1.26	0.43	0.36	0.31	0.48	0.53	0.49	0.34	0.45	0.45	0.29	0.29	1.00	0.35	0.58	0.72	0.60	0.49	0.34	0.83	0.36	0.39	2.23	0.32	0.45	0.58	0.36	0.46	0.58	0.43	0.45	0.41	0.58	0.81	0.30	0.35	0.43	0.66	0.72	0.55	0.59	0.53	0.58	0.41	0.34	0.33	0.66	0.31	0.29	0.32	0.31	0.36	0.53	0.32	0.58	3.62	0.57	0.33	0.59	0.34	0.34	0.64	0.32	1.00	0.50	0.48	0.42	0.58	0.45	0.53	0.34	0.31	0.83	0.63	0.29	0.38	0.97	0.58
hungary	1.49	2.05	1.82	1.71	1.64	1.82	1.17	1.37	1.02	0.95	1.61	1.17	1.37	0.87	2.93	1.08	0.96	1.71	0.95	2.73	1.02	0.95	1.02	1.11	3.57	1.22	1.02	0.87	1.37	1.49	1.39	0.95	1.26	1.26	0.82	0.83	2.83	1.00	1.64	2.05	1.71	1.39	0.96	2.34	1.01	1.09	6.31	0.89	1.26	1.64	1.02	1.30	1.64	1.21	1.26	1.17	1.64	2.28	0.85	1.00	1.21	1.86	2.05	1.55	1.67	1.49	1.64	1.17	0.95	0.94	1.86	0.88	0.83	0.91	0.86	1.02	1.49	0.89	1.64	10.25	1.61	0.93	1.67	0.96	0.95	1.82	0.89	2.83	1.41	1.37	1.19	1.64	1.28	1.49	0.96	0.86	2.34	1.78	0.83	1.08	2.73	1.64
iceland	0.91	1.25	1.11	1.04	1.00	1.11	0.71	0.83	0.62	0.58	0.98	0.71	0.83	0.53	1.79	0.66	0.59	1.04	0.58	1.67	0.62	0.58	0.62	0.68	2.17	0.75	0.62	0.53	0.83	0.91	0.85	0.58	0.77	0.77	0.50	0.51	1.72	0.61	1.00	1.25	1.04	0.85	0.59	1.43	0.62	0.67	3.85	0.54	0.77	1.00	0.62	0.79	1.00	0.74	0.77	0.71	1.00	1.39	0.52	0.61	0.74	1.14	1.25	0.94	1.02	0.91	1.00	0.71	0.58	0.57	1.14	0.54	0.51	0.56	0.53	0.62	0.91	0.54	1.00	6.25	0.98	0.57	1.02	0.59	0.58	1.11	0.54	1.72	0.86	0.83	0.72	1.00	0.78	0.91	0.59	0.53	1.43	1.09	0.51	0.66	1.67	1.00
india	0.73	1.00	0.89	0.83	0.80	0.89	0.57	0.67	0.50	0.47	0.78	0.57	0.67	0.43	1.43	0.53	0.47	0.83	0.47	1.33	0.50	0.47	0.50	0.54	1.74	0.60	0.50	0.43	0.67	0.73	0.68	0.47	0.62	0.62	0.40	0.40	1.38	0.49	0.80	1.00	0.83	0.68	0.47	1.14	0.49	0.53	3.08	0.43	0.62	0.80	0.50	0.63	0.80	0.59	0.62	0.57	0.80	1.11	0.42	0.49	0.59	0.91	1.00	0.75	0.82	0.73	0.80	0.57	0.47	0.46	0.91	0.43	0.40	0.44	0.42	0.50	0.73	0.43	0.80	5.00	0.78	0.45	0.82	0.47	0.47	0.89	0.43	1.38	0.69	0.67	0.58	0.80	0.62	0.73	0.47	0.42	1.14	0.87	0.40	0.53	1.33	0.80
indonesia	0.87	1.20	1.07	1.00	0.96	1.07	0.69	0.80	0.60	0.56	0.94	0.69	0.80	0.51	1.71	0.63	0.56	1.00	0.56	1.60	0.60	0.56	0.60	0.65	2.09	0.72	0.60	0.51	0.80	0.87	0.81	0.56	0.74	0.74	0.48	0.48	1.66	0.59	0.96	1.20	1.00	0.81	0.56	1.37	0.59	0.64	3.69	0.52	0.74	0.96	0.60	0.76	0.96	0.71	0.74	0.69	0.96	1.33	0.50	0.59	0.71	1.09	1.20	0.91	0.98	0.87	0.96	0.69	0.56	0.55	1.09	0.52	0.48	0.53	0.51	0.60	0.87	0.52	0.96	6.00	0.94	0.55	0.98	0.56	0.56	1.07	0.52	1.66	0.83	0.80	0.70	0.96	0.75	0.87	0.56	0.51	1.37	1.04	0.48	0.63	1.60	0.96
iran	1.07	1.48	1.31	1.23	1.18	1.31	0.84	0.98	0.74	0.69	1.16	0.84	0.98	0.63	2.11	0.78	0.69	1.23	0.69	1.97	0.74	0.69	0.74	0.80	2.57	0.88	0.74	0.63	0.98	1.07	1.00	0.69	0.91	0.91	0.59	0.60	2.03	0.72	1.18	1.48	1.23	1.00	0.69	1.69	0.73	0.79	4.54	0.64	0.91	1.18	0.74	0.94	1.18	0.87	0.91	0.84	1.18	1.64	0.61	0.72	0.87	1.34	1.48	1.11	1.20	1.07	1.18	0.84	0.69	0.68	1.34	0.63	0.60	0.66	0.62	0.74	1.07	0.64	1.18	7.38	1.16	0.67	1.20	0.69	0.69	1.31	0.64	2.03	1.02	0.98	0.86	1.18	0.92	1.07	0.69	0.62	1.69	1.28	0.60	0.78	1.97	1.18
iraq	1.55	2.12	1.89	1.77	1.70	1.89	1.21	1.42	1.06	0.99	1.67	1.21	1.42	0.90	3.04	1.12	1.00	1.77	0.99	2.83	1.06	0.99	1.06	1.15	3.70	1.27	1.06	0.90	1.42	1.55	1.44	0.99	1.31	1.31	0.85	0.86	2.93	1.04	1.70	2.12	1.77	1.44	1.00	2.43	1.05	1.13	6.54	0.92	1.31	1.70	1.06	1.35	1.70	1.25	1.31	1.21	1.70	2.36	0.89	1.04	1.25	1.93	2.12	1.60	1.73	1.55	1.70	1.21	0.99	0.98	1.93	0.91	0.86	0.94	0.89	1.06	1.55	0.92	1.70	10.62	1.67	0.97	1.73	1.00	0.99	1.89	0.92	2.93	1.47	1.42	1.23	1.70	1.33	1.55	1.00	0.89	2.43	1.85	0.86	1.12	2.83	1.70
ireland	0.64	0.88	0.78	0.73	0.70	0.78	0.50	0.58	0.44	0.41	0.69	0.50	0.58	0.37	1.25	0.46	0.41	0.73	0.41	1.17	0.44	0.41	0.44	0.47	1.52	0.52	0.44	0.37	0.58	0.64	0.59	0.41	0.54	0.54	0.35	0.35	1.21	0.43	0.70	0.88	0.73	0.59	0.41	1.00	0.43	0.47	2.69	0.38	0.54	0.70	0.44	0.56	0.70	0.51	0.54	0.50	0.70	0.97	0.36	0.43	0.51	0.80	0.88	0.66	0.71	0.64	0.70	0.50	0.41	0.40	0.80	0.38	0.35	0.39	0.37	0.44	0.64	0.38	0.70	4.38	0.69	0.40	0.71	0.41	0.41	0.78	0.38	1.21	0.60	0.58	0.51	0.70	0.55	0.64	0.41	0.37	1.00	0.76	0.35	0.46	1.17	0.70
israel	1.47	2.02	1.80	1.69	1.62	1.80	1.16	1.35	1.01	0.94	1.59	1.16	1.35	0.86	2.89	1.07	0.95	1.69	0.94	2.70	1.01	0.94	1.01	1.09	3.52	1.21	1.01	0.86	1.35	1.47	1.37	0.94	1.25	1.25	0.81	0.82	2.79	0.99	1.62	2.02	1.69	1.37	0.95	2.31	1.00	1.08	6.23	0.88	1.25	1.62	1.01	1.29	1.62	1.19	1.25	1.16	1.62	2.25	0.84	0.99	1.19	1.84	2.02	1.53	1.65	1.47	1.62	1.16	0.94	0.93	1.84	0.87	0.82	0.90	0.85	1.01	1.47	0.88	1.62	10.12	1.59	0.92	1.65	0.95	0.94	1.80	0.88	2.79	1.40	1.35	1.17	1.62	1.27	1.47	0.95	0.85	2.31	1.76	0.82	1.07	2.70	1.62
italy	1.36	1.88	1.67	1.56	1.50	1.67	1.07	1.25	0.94	0.87	1.47	1.07	1.25	0.80	2.68	0.99	0.88	1.56	0.87	2.50	0.94	0.87	0.94	1.01	3.26	1.12	0.94	0.80	1.25	1.36	1.27	0.87	1.15	1.15	0.75	0.76	2.59	0.91	1.50	1.88	1.56	1.27	0.88	2.14	0.93	1.00	5.77	0.82	1.15	1.50	0.94	1.19	1.50	1.10	1.15	1.07	1.50	2.08	0.78	0.91	1.10	1.70	1.88	1.42	1.53	1.36	1.50	1.07	0.87	0.86	1.70	0.81	0.76	0.83	0.79	0.94	1.36	0.82	1.50	9.38	1.47	0.85	1.53	0.88	0.87	1.67	0.82	2.59	1.29	1.25	1.09	1.50	1.17	1.36	0.88	0.79	2.14	1.63	0.76	0.99	2.50	1.50
jamaica	0.24	0.33	0.29	0.27	0.26	0.29	0.19	0.22	0.16	0.15	0.25	0.19	0.22	0.14	0.46	0.17	0.15	0.27	0.15	0.43	0.16	0.15	0.16	0.18	0.57	0.19	0.16	0.14	0.22	0.24	0.22	0.15	0.20	0.20	0.13	0.13	0.45	0.16	0.26	0.33	0.27	0.22	0.15	0.37	0.16	0.17	1.00	0.14	0.20	0.26	0.16	0.21	0.26	0.19	0.20	0.19	0.26	0.36	0.14	0.16	0.19	0.30	0.33	0.25	0.27	0.24	0.26	0.19	0.15	0.15	0.30	0.14	0.13	0.14	0.14	0.16	0.24	0.14	0.26	1.62	0.25	0.15	0.27	0.15	0.15	0.29	0.14	0.45	0.22	0.22	0.19	0.26	0.20	0.24	0.15	0.14	0.37	0.28	0.13	0.17	0.43	0.26
japan	1.67	2.30	2.04	1.92	1.84	2.04	1.31	1.53	1.15	1.07	1.80	1.31	1.53	0.98	3.29	1.21	1.08	1.92	1.07	3.07	1.15	1.07	1.15	1.24	4.00	1.37	1.15	0.98	1.53	1.67	1.56	1.07	1.42	1.42	0.92	0.93	3.17	1.12	1.84	2.30	1.92	1.56	1.08	2.63	1.14	1.23	7.08	1.00	1.42	1.84	1.15	1.46	1.84	1.35	1.42	1.31	1.84	2.56	0.96	1.12	1.35	2.09	2.30	1.74	1.88	1.67	1.84	1.31	1.07	1.06	2.09	0.99	0.93	1.02	0.97	1.15	1.67	1.00	1.84	11.50	1.80	1.05	1.88	1.08	1.07	2.04	1.00	3.17	1.59	1.53	1.33	1.84	1.44	1.67	1.08	0.97	2.63	2.00	0.93	1.21	3.07	1.84
jordan	1.18	1.62	1.44	1.35	1.30	1.44	0.93	1.08	0.81	0.76	1.27	0.93	1.08	0.69	2.32	0.86	0.76	1.35	0.76	2.17	0.81	0.76	0.81	0.88	2.83	0.97	0.81	0.69	1.08	1.18	1.10	0.76	1.00	1.00	0.65	0.66	2.24	0.79	1.30	1.62	1.35	1.10	0.76	1.86	0.80	0.87	5.00	0.71	1.00	1.30	0.81	1.03	1.30	0.96	1.00	0.93	1.30	1.81	0.68	0.79	0.96	1.48	1.62	1.23	1.33	1.18	1.30	0.93	0.76	0.75	1.48	0.70	0.66	0.72	0.68	0.81	1.18	0.71	1.30	8.12	1.27	0.74	1.33	0.76	0.76	1.44	0.71	2.24	1.12	1.08	0.94	1.30	1.02	1.18	0.76	0.68	1.86	1.41	0.66	0.86	2.17	1.30
kenya	0.91	1.25	1.11	1.04	1.00	1.11	0.71	0.83	0.62	0.58	0.98	0.71	0.83	0.53	1.79	0.66	0.59	1.04	0.58	1.67	0.62	0.58	0.62	0.68	2.17	0.75	0.62	0.53	0.83	0.91	0.85	0.58	0.77	0.77	0.50	0.51	1.72	0.61	1.00	1.25	1.04	0.85	0.59	1.43	0.62	0.67	3.85	0.54	0.77	1.00	0.62	0.79	1.00	0.74	0.77	0.71	1.00	1.39	0.52	0.61	0.74	1.14	1.25	0.94	1.02	0.91	1.00	0.71	0.58	0.57	1.14	0.54	0.51	0.56	0.53	0.62	0.91	0.54	1.00	6.25	0.98	0.57	1.02	0.59	0.58	1.11	0.54	1.72	0.86	0.83	0.72	1.00	0.78	0.91	0.59	0.53	1.43	1.09	0.51	0.66	1.67	1.00
kuwait	1.45	2.00	1.78	1.67	1.60	1.78	1.14	1.33	1.00	0.93	1.57	1.14	1.33	0.85	2.86	1.05	0.94	1.67	0.93	2.67	1.00	0.93	1.00	1.08	3.48	1.19	1.00	0.85	1.33	1.45	1.36	0.93	1.23	1.23	0.80	0.81	2.76	0.98	1.60	2.00	1.67	1.36	0.94	2.29	0.99	1.07	6.15	0.87	1.23	1.60	1.00	1.27	1.60	1.18	1.23	1.14	1.60	2.22	0.83	0.98	1.18	1.82	2.00	1.51	1.63	1.45	1.60	1.14	0.93	0.92	1.82	0.86	0.81	0.89	0.84	1.00	1.45	0.87	1.60	10.00	1.57	0.91	1.63	0.94	0.93	1.78	0.87	2.76	1.38	1.33	1.16	1.60	1.25	1.45	0.94	0.84	2.29	1.74	0.81	1.05	2.67	1.60
latvia	1.15	1.57	1.40	1.31	1.26	1.40	0.90	1.05	0.79	0.73	1.24	0.90	1.05	0.67	2.25	0.83	0.74	1.31	0.73	2.10	0.79	0.73	0.79	0.85	2.74	0.94	0.79	0.67	1.05	1.15	1.07	0.73	0.97	0.97	0.63	0.64	2.17	0.77	1.26	1.57	1.31	1.07	0.74	1.80	0.78	0.84	4.85	0.68	0.97	1.26	0.79	1.00	1.26	0.93	0.97	0.90	1.26	1.75	0.66	0.77	0.93	1.43	1.57	1.19	1.29	1.15	1.26	0.90	0.73	0.72	1.43	0.68	0.64	0.70	0.66	0.79	1.15	0.68	1.26	7.88	1.24	0.72	1.29	0.74	0.73	1.40	0.68	2.17	1.09	1.05	0.91	1.26	0.98	1.15	0.74	0.66	1.80	1.37	0.64	0.83	2.10	1.26
lebanon	0.91	1.25	1.11	1.04	1.00	1.11	0.71	0.83	0.62	0.58	0.98	0.71	0.83	0.53	1.79	0.66	0.59	1.04	0.58	1.67	0.62	0.58	0.62	0.68	2.17	0.75	0.62	0.53	0.83	0.91	0.85	0.58	0.77	0.77	0.50	0.51	1.72	0.61	1.00	1.25	1.04	0.85	0.59	1.43	0.62	0.67	3.85	0.54	0.77	1.00	0.62	0.79	1.00	0.74	0.77	0.71	1.00	1.39	0.52	0.61	0.74	1.14	1.25	0.94	1.02	0.91	1.00	0.71	0.58	0.57	1.14	0.54	0.51	0.56	0.53	0.62	0.91	0.54	1.00	6.25	0.98	0.57	1.02	0.59	0.58	1.11	0.54	1.72	0.86	0.83	0.72	1.00	0.78	0.91	0.59	0.53	1.43	1.09	0.51	0.66	1.67	1.00
libya	1.24	1.70	1.51	1.42	1.36	1.51	0.97	1.13	0.85	0.79	1.33	0.97	1.13	0.72	2.43	0.89	0.80	1.42	0.79	2.27	0.85	0.79	0.85	0.92	2.96	1.01	0.85	0.72	1.13	1.24	1.15	0.79	1.05	1.05	0.68	0.69	2.34	0.83	1.36	1.70	1.42	1.15	0.80	1.94	0.84	0.91	5.23	0.74	1.05	1.36	0.85	1.08	1.36	1.00	1.05	0.97	1.36	1.89	0.71	0.83	1.00	1.55	1.70	1.28	1.39	1.24	1.36	0.97	0.79	0.78	1.55	0.73	0.69	0.76	0.72	0.85	1.24	0.74	1.36	8.50	1.33	0.77	1.39	0.80	0.79	1.51	0.74	2.34	1.17	1.13	0.99	1.36	1.06	1.24	0.80	0.72	1.94	1.48	0.69	0.89	2.27	1.36
lithuania	1.18	1.62	1.44	1.35	1.30	1.44	0.93	1.08	0.81	0.76	1.27	0.93	1.08	0.69	2.32	0.86	0.76	1.35	0.76	2.17	0.81	0.76	0.81	0.88	2.83	0.97	0.81	0.69	1.08	1.18	1.10	0.76	1.00	1.00	0.65	0.66	2.24	0.79	1.30	1.62	1.35	1.10	0.76	1.86	0.80	0.87	5.00	0.71	1.00	1.30	0.81	1.03	1.30	0.96	1.00	0.93	1.30	1.81	0.68	0.79	0.96	1.48	1.62	1.23	1.33	1.18	1.30	0.93	0.76	0.75	1.48	0.70	0.66	0.72	0.68	0.81	1.18	0.71	1.30	8.12	1.27	0.74	1.33	0.76	0.76	1.44	0.71	2.24	1.12	1.08	0.94	1.30	1.02	1.18	0.76	0.68	1.86	1.41	0.66	0.86	2.17	1.30
luxemburg	1.27	1.75	1.56	1.46	1.40	1.56	1.00	1.17	0.88	0.81	1.37	1.00	1.17	0.74	2.50	0.92	0.82	1.46	0.81	2.33	0.88	0.81	0.88	0.95	3.04	1.04	0.88	0.74	1.17	1.27	1.19	0.81	1.08	1.08	0.70	0.71	2.41	0.85	1.40	1.75	1.46	1.19	0.82	2.00	0.86	0.93	5.38	0.76	1.08	1.40	0.88	1.11	1.40	1.03	1.08	1.00	1.40	1.94	0.73	0.85	1.03	1.59	1.75	1.32	1.43	1.27	1.40	1.00	0.81	0.80	1.59	0.75	0.71	0.78	0.74	0.88	1.27	0.76	1.40	8.75	1.37	0.80	1.43	0.82	0.81	1.56	0.76	2.41	1.21	1.17	1.01	1.40	1.09	1.27	0.82	0.74	2.00	1.52	0.71	0.92	2.33	1.40
malawi	0.91	1.25	1.11	1.04	1.00	1.11	0.71	0.83	0.62	0.58	0.98	0.71	0.83	0.53	1.79	0.66	0.59	1.04	0.58	1.67	0.62	0.58	0.62	0.68	2.17	0.75	0.62	0.53	0.83	0.91	0.85	0.58	0.77	0.77	0.50	0.51	1.72	0.61	1.00	1.25	1.04	0.85	0.59	1.43	0.62	0.67	3.85	0.54	0.77	1.00	0.62	0.79	1.00	0.74	0.77	0.71	1.00	1.39	0.52	0.61	0.74	1.14	1.25	0.94	1.02	0.91	1.00	0.71	0.58	0.57	1.14	0.54	0.51	0.56	0.53	0.62	0.91	0.54	1.00	6.25	0.98	0.57	1.02	0.59	0.58	1.11	0.54	1.72	0.86	0.83	0.72	1.00	0.78	0.91	0.59	0.53	1.43	1.09	0.51	0.66	1.67	1.00
malaysia	0.65	0.90	0.80	0.75	0.72	0.80	0.51	0.60	0.45	0.42	0.71	0.51	0.60	0.38	1.29	0.47	0.42	0.75	0.42	1.20	0.45	0.42	0.45	0.49	1.57	0.54	0.45	0.38	0.60	0.65	0.61	0.42	0.55	0.55	0.36	0.36	1.24	0.44	0.72	0.90	0.75	0.61	0.42	1.03	0.44	0.48	2.77	0.39	0.55	0.72	0.45	0.57	0.72	0.53	0.55	0.51	0.72	1.00	0.38	0.44	0.53	0.82	0.90	0.68	0.73	0.65	0.72	0.51	0.42	0.41	0.82	0.39	0.36	0.40	0.38	0.45	0.65	0.39	0.72	4.50	0.71	0.41	0.73	0.42	0.42	0.80	0.39	1.24	0.62	0.60	0.52	0.72	0.56	0.65	0.42	0.38	1.03	0.78	0.36	0.47	1.20	0.72
malta	1.75	2.40	2.13	2.00	1.92	2.13	1.37	1.60	1.20	1.12	1.88	1.37	1.60	1.02	3.43	1.26	1.13	2.00	1.12	3.20	1.20	1.12	1.20	1.30	4.17	1.43	1.20	1.02	1.60	1.75	1.63	1.12	1.48	1.48	0.96	0.97	3.31	1.17	1.92	2.40	2.00	1.63	1.13	2.74	1.19	1.28	7.38	1.04	1.48	1.92	1.20	1.52	1.92	1.41	1.48	1.37	1.92	2.67	1.00	1.17	1.41	2.18	2.40	1.81	1.96	1.75	1.92	1.37	1.12	1.10	2.18	1.03	0.97	1.07	1.01	1.20	1.75	1.04	1.92	12.00	1.88	1.09	1.96	1.13	1.12	2.13	1.04	3.31	1.66	1.60	1.39	1.92	1.50	1.75	1.13	1.01	2.74	2.09	0.97	1.26	3.20	1.92
mexico	1.49	2.05	1.82	1.71	1.64	1.82	1.17	1.37	1.02	0.95	1.61	1.17	1.37	0.87	2.93	1.08	0.96	1.71	0.95	2.73	1.02	0.95	1.02	1.11	3.57	1.22	1.02	0.87	1.37	1.49	1.39	0.95	1.26	1.26	0.82	0.83	2.83	1.00	1.64	2.05	1.71	1.39	0.96	2.34	1.01	1.09	6.31	0.89	1.26	1.64	1.02	1.30	1.64	1.21	1.26	1.17	1.64	2.28	0.85	1.00	1.21	1.86	2.05	1.55	1.67	1.49	1.64	1.17	0.95	0.94	1.86	0.88	0.83	0.91	0.86	1.02	1.49	0.89	1.64	10.25	1.61	0.93	1.67	0.96	0.95	1.82	0.89	2.83	1.41	1.37	1.19	1.64	1.28	1.49	0.96	0.86	2.34	1.78	0.83	1.08	2.73	1.64
morocco	1.24	1.70	1.51	1.42	1.36	1.51	0.97	1.13	0.85	0.79	1.33	0.97	1.13	0.72	2.43	0.89	0.80	1.42	0.79	2.27	0.85	0.79	0.85	0.92	2.96	1.01	0.85	0.72	1.13	1.24	1.15	0.79	1.05	1.05	0.68	0.69	2.34	0.83	1.36	1.70	1.42	1.15	0.80	1.94	0.84	0.91	5.23	0.74	1.05	1.36	0.85	1.08	1.36	1.00	1.05	0.97	1.36	1.89	0.71	0.83	1.00	1.55	1.70	1.28	1.39	1.24	1.36	0.97	0.79	0.78	1.55	0.73	0.69	0.76	0.72	0.85	1.24	0.74	1.36	8.50	1.33	0.77	1.39	0.80	0.79	1.51	0.74	2.34	1.17	1.13	0.99	1.36	1.06	1.24	0.80	0.72	1.94	1.48	0.69	0.89	2.27	1.36
mozambique	0.80	1.10	0.98	0.92	0.88	0.98	0.63	0.73	0.55	0.51	0.86	0.63	0.73	0.47	1.57	0.58	0.52	0.92	0.51	1.47	0.55	0.51	0.55	0.59	1.91	0.66	0.55	0.47	0.73	0.80	0.75	0.51	0.68	0.68	0.44	0.44	1.52	0.54	0.88	1.10	0.92	0.75	0.52	1.26	0.54	0.59	3.38	0.48	0.68	0.88	0.55	0.70	0.88	0.65	0.68	0.63	0.88	1.22	0.46	0.54	0.65	1.00	1.10	0.83	0.90	0.80	0.88	0.63	0.51	0.51	1.00	0.47	0.44	0.49	0.46	0.55	0.80	0.48	0.88	5.50	0.86	0.50	0.90	0.52	0.51	0.98	0.48	1.52	0.76	0.73	0.64	0.88	0.69	0.80	0.52	0.46	1.26	0.96	0.44	0.58	1.47	0.88
nepal	0.73	1.00	0.89	0.83	0.80	0.89	0.57	0.67	0.50	0.47	0.78	0.57	0.67	0.43	1.43	0.53	0.47	0.83	0.47	1.33	0.50	0.47	0.50	0.54	1.74	0.60	0.50	0.43	0.67	0.73	0.68	0.47	0.62	0.62	0.40	0.40	1.38	0.49	0.80	1.00	0.83	0.68	0.47	1.14	0.49	0.53	3.08	0.43	0.62	0.80	0.50	0.63	0.80	0.59	0.62	0.57	0.80	1.11	0.42	0.49	0.59	0.91	1.00	0.75	0.82	0.73	0.80	0.57	0.47	0.46	0.91	0.43	0.40	0.44	0.42	0.50	0.73	0.43	0.80	5.00	0.78	0.45	0.82	0.47	0.47	0.89	0.43	1.38	0.69	0.67	0.58	0.80	0.62	0.73	0.47	0.42	1.14	0.87	0.40	0.53	1.33	0.80
