COUNTRY	Argentina	Aruba	Austria	Bangladesh	Belgium	Brazil	Bulgaria	Canada	Cayman Islands	Chile	China, P.R.: Hong Kong	China, P.R.: Macao	Colombia	Costa Rica	Cyprus	Czech Republic	Denmark	Estonia	Finland	France	Germany	Greece	Hungary	Iceland	India	Indonesia	Ireland	Israel	Italy	Japan	Kazakhstan	Korea, Republic of	Kosovo	Kuwait	Latvia	Lebanon	Lithuania	Luxembourg	Malaysia	Malta	Mauritius	Mexico	Netherlands	New Zealand	Pakistan	Panama	Philippines	Poland	Portugal	Romania	Russian Federation	Saudi Arabia	Singapore	Slovak Republic	Slovenia	South Africa	Spain	Switzerland	Thailand	Turkey	Ukraine	United Kingdom	United States	Venezuela, República Bolivariana de	SEFER + SSIO (**)	Value of Total Investment
Costa Rica	0 		20 		0 	1 	0 	24 	13 	9 	0 		15 		0 		205 	0 	24 	15 	429 		0 		0 		10 		47 	40 	0 	2 	0 		0 	0 	0 	1026 		C 	1 		369 		1 	224 		0 	0 		0 	39 	C 	0 	0 		C 	38 	1 	0 		6 			C 	2561 
Cote d'Ivoire	0 		12 			0 	0 	21 		0 	244 		0 		0 		118 	0 	C 	178 	104 		0 		0 		307 		7 	52 	0 	0 	0 			1 	0 	742 	0 	0 	120 		87 					0 	0 		0 	0 	C 	0 	0 	1 	C 	647 		0 		112 	856 		C 	3608 
Croatia	0 		869 		27 	0 	231 	72 	10 	0 	5 		0 		19 	10 	479 	9 	78 	1619 	1429 		52 	0 	0 		780 		483 	94 	0 	1 	0 		55 	7 	76 	2849 		C 	1 		639 					33 	0 	48 	39 	107 	C 	187 	53 		C 	161 		2 		487 	2504 		C 	13515 
Cuba	0 		0 			0 	0 			0 	0 		0 		0 		0 	0 		28 	0 		0 	0 	0 		0 			27 	0 	0 	0 			0 	0 	0 		0 			0 					0 	0 		0 	0 		0 	0 		C 	0 		0 		0 	2 	200 	0 	257 
Curacao	0 	15 	489 		1562 	0 	10 	1891 	8 	1 	7 	2 	0 		5 	212 	513 	0 	81 	27167 	2161 	5 	70 		0 		1532 		735 	5161 	112 	0 	0 		1 	0 	1 	4539 	0 	C 			1644 			1 		C 	43 	C 	2 	0 	C 	42 	48 		811 	5124 		0 		135 			C 	54128 
Curacao & St. Maarten																																																																		
Cyprus	0 		217 		331 	1 	4 	69 		0 	9 		0 			58 	150 	34 	70 	403 	361 	281 	8 	0 	4 	0 	276 	1 	70 	74 	24 	19 	0 		23 	1 	7 	3025 	10 	19 	131 		234 					122 	18 	8 	3059 	0 	C 	111 	3 	1 	C 	177 		0 	66 	788 	3044 		C 	13310 
Czech Republic	0 		3592 	3 	1677 	0 	507 	158 		1 	36 	0 	0 		9 		191 	25 	102 	3633 	7508 	12 	56 	1 	0 	0 	1498 		1162 	912 	15 	30 	0 		27 	2 	72 	3491 	0 	39 			2512 					915 	22 	10 	0 	17 	C 	1346 	157 	2 	365 	1247 	1 	0 		6214 	3663 		C 	41233 
Denmark	0 	2 	2871 	48 	2585 	3452 	0 	3918 	7 	74 	242 	42 	1 		9 	18 		41 	33098 	16102 	36957 	20 	9 	55 	0 		10069 	81 	2554 	10817 	856 	524 	47 		58 	6 	150 	25072 	17 	113 	248 		12105 	C 		2 	C 	28 	414 	C 	1 	1240 	C 	415 	76 	46 	662 	10880 	4 	53 		24049 	75712 		20505 	296356 
Djibouti	0 		0 			0 	0 			0 	0 		0 		0 		0 	0 			0 		0 		0 		0 			0 	0 	0 	0 			0 	0 	0 		0 			0 					0 	0 		0 	0 		0 	0 		C 	0 		0 		0 			0 	0 
Dominica	0 		0 			0 	0 			0 	0 		0 		0 		0 	0 			0 		0 		0 		0 			0 	0 	0 	0 			0 	0 	0 		0 			0 					0 	0 		0 	0 		0 	0 		C 	0 		0 		1 			0 	1 
Dominican Republic	0 		20 		2 	0 	0 	80 	6 	0 	0 		0 	0 	0 		254 	0 	19 	20 	265 		0 		0 		273 		51 	89 	0 	0 	0 		0 	0 	0 	1170 		0 			404 			80 		0 	0 		0 	110 		0 	0 		C 	30 		0 		83 	1951 		C 	4910 
Ecuador	0 		7 			1 	0 			30 	8 		0 	0 	0 		36 	0 	C 	16 	51 		0 		0 		C 		9 	21 	0 	0 	0 			0 	0 	1134 	0 	0 			59 			15 		0 	0 		0 	18 	C 	0 	0 		C 	11 		1 		48 	486 		C 	1949 
Egypt	0 		3 	3 	1 	0 	0 	97 		0 	19 		0 		36 	0 	85 	0 	13 	477 	51 		1 		0 	1 	407 		40 	42 	0 	11 	0 	566 	1 	8 	0 	863 	2 	0 	36 		115 			9 		C 	0 		1 	63 	C 	0 	0 	199 	C 	66 	5 	0 		1739 	3619 		C 	8581 
El Salvador	0 		12 			0 	0 	26 	9 	0 	0 		15 	15 	0 		203 	0 	12 	14 	373 		0 		0 		296 		45 	57 	0 	0 	0 			0 	0 	524 		0 			236 			59 		0 	0 		0 	71 	C 	0 	0 		C 	13 		0 		103 	936 		0 	3023 
Equatorial Guinea	0 		0 			0 	0 			0 	0 		0 		0 		0 	0 			0 		0 	3 	0 		0 			0 	0 	0 	0 			0 	0 	0 		0 			0 					0 	0 		0 	0 		0 	0 		C 	0 		0 		0 			0 	3 
Eritrea	0 		0 			0 	0 			0 	0 		0 		0 		0 	0 			0 		0 		0 		0 			0 	0 	0 	0 			0 	0 	0 	0 	0 			0 					0 	0 		0 	0 		0 	0 		C 	0 	3 	0 		0 			0 	3 
Estonia	0 		64 		9 	0 	0 			2 	0 		0 		0 	12 	68 		439 	137 	321 		1 	0 	0 		27 		3 	2 	0 	0 	0 		142 	0 	205 	362 		C 			66 					20 	0 		10 	0 		66 	30 		C 	91 		0 		26 	147 		C 	2250 
Ethiopia	0 		0 			0 	0 			0 	0 		0 		0 		1 	0 			0 		0 		0 		0 			0 	0 	0 	0 			0 	0 	0 		0 	5 		0 					0 	0 		0 	0 		0 	0 		C 	0 		0 		0 			0 	5 
Falkland Islands	0 		0 		0 	0 	0 			0 	0 		0 		0 	0 	0 	0 		0 	14 		0 		0 		1 		0 	0 	0 	0 	0 			0 	0 	1 	0 	0 			1 					C 	0 		0 	0 	C 	0 	0 		C 	1 		0 		45 			0 	65 
Faroe Islands	0 		1 		1 	0 	0 			0 	0 		0 		0 		804 	0 	C 	23 	11 		0 	37 	0 		26 		1 	0 	0 	0 	0 			0 	0 	109 		0 			5 					0 	0 		0 	0 	C 	0 	0 		C 	4 		0 		9 			C 	1032 
Fiji	0 		0 			0 	0 			0 	0 		0 		0 		0 	0 			0 		0 		0 		0 		0 	0 	0 	0 	0 			0 	0 	109 		0 			0 	C 				0 	0 		0 	0 	C 	0 	0 		C 	0 		0 		6 			0 	115 
Finland	0 		6294 	4 	4747 	3 	22 	2211 	32 	75 	651 	6 	27 	0 	9 	50 	9573 	492 		19092 	44681 	97 	5 	25 	0 	1 	17107 	47 	3316 	11453 	307 	456 	38 	0 	269 	2 	66 	23853 	0 	192 	1 		28642 	188 		0 	C 	65 	796 	12 	0 	691 	C 	703 	150 	15 	1095 	9398 	4 	0 		25867 	41614 		19921 	274366 
France	1 	12 	35453 	154 	143626 	156 	331 	36991 	686 	1109 	7570 	248 	427 	19 	1261 	1503 	20090 	1018 	26841 		439366 	3689 	179 	484 	1 	7 	148161 	2067 	161473 	267392 	3580 	10646 	118 	142 	977 	593 	451 	349513 	120 	1724 	149 	61 	215400 	C 	10 	21 	C 	1750 	13944 	54 	401 	7944 	C 	2869 	2259 	438 	50155 	103257 	252 	3 		303151 	519550 	4 	374129 	3263978 
French Southern Territories	0 		0 			0 	0 			0 	0 		0 		0 		0 	0 			0 		0 		0 		0 			0 	0 	0 	0 			0 	0 	0 		0 			0 					0 	0 		0 	0 		0 	0 		C 			0 		0 			0 	0 
French Territories: French Polynesia	0 		0 			0 	0 			0 	0 		0 		0 		22 	0 		135 	0 		0 		0 		0 			0 	0 	0 	0 			0 	0 	0 		0 			0 					0 	0 		0 	0 		0 	0 		C 	0 		0 		0 			0 	156 
French Territories: New Caledonia	0 		0 			0 	0 			0 	0 		0 		0 		0 	0 		79 	0 		0 		0 		0 			0 	0 	0 	0 			0 	0 	0 		0 			0 					0 	0 		0 	0 	C 	0 	0 		C 	0 		0 		0 			0 	79 
Gabon	0 		7 		12 	0 	0 	8 		0 	0 		0 		0 		53 	0 	2 	1284 	191 		0 		0 		8 		13 	6 	0 	0 	0 		0 	0 	0 	297 		0 			115 					0 	0 		0 	37 	C 	0 	0 		C 	44 		0 		125 			0 	2204 
Gambia, The	0 		0 			0 	0 			0 	0 		0 		0 		0 	0 			0 		0 		0 		0 			0 	0 	0 	0 			0 	0 	22 	3 	0 			0 					0 	0 		0 	0 		0 	0 		C 	0 	0 	0 		2 			0 	28 
Georgia	0 		14 			0 	0 	20 		0 	0 		0 		2 	3 	126 	2 	23 	20 	137 		1 		0 		1 	123 	30 	10 	1 	4 	0 		11 	1 	10 	795 	0 	0 	1 		92 					8 	0 		0 	26 	C 	0 	0 	1 	C 	20 		0 		387 	517 		C 	2384 
Germany	7 	4 	67165 	372 	53525 	195 	627 	32769 	769 	4833 	10986 	200 	498 	36 	478 	914 	68784 	849 	37217 	273963 		2009 	606 	1311 	2 	59 	158375 	3441 	77444 	165268 	3744 	4387 	81 	109 	1181 	63 	290 	344373 	389 	1201 	10 	158 	278857 	1481 		25 	247 	2585 	14008 	183 	57 	7969 	28413 	1602 	2400 	839 	28985 	93525 	436 	50 		282377 	405664 		566160 	3034556 
Ghana	0 		41 			0 	0 			0 	25 		0 		0 		83 	0 	11 	17 	48 		0 		0 		18 		18 	3 	0 	0 	0 		1 	5 	0 	1441 		C 	164 		85 					0 	0 		0 	52 	C 	0 	0 	45 	C 	8 		0 		754 	691 		0 	3510 
Gibraltar	0 		172 		1 	1 	0 	1 		0 	0 		0 		0 	0 	123 	0 	C 	72 	44 		0 		0 		30 		87 	5 	0 	0 	0 			0 	0 	71 		0 	0 		1 					0 	0 	C 	0 	0 	C 	0 	10 		C 	109 		0 		330 			C 	1058 
Greece	0 		1552 		1725 	0 	259 	388 		2 	7 	0 	0 	0 	2441 	6 	188 	4 	207 	9545 	8370 		3 	0 	0 	0 	1217 	23 	5961 	248 	0 	13 	0 		2 	27 	8 	4690 	0 	22 		9 	3040 			0 		96 	3121 	26 	5 	29 	C 	198 	152 	1 	C 	506 	3 	31 		5764 	16101 		C 	65990 
Greenland	0 		0 			0 	0 			0 	0 		0 		0 		77 	0 	C 		0 		0 		0 		C 			0 	0 	0 	0 			0 	0 	2 		C 			0 					0 	0 		0 	0 		0 	0 		C 	0 		0 		0 			0 	80 
Grenada	0 		0 			0 	0 			0 	0 		0 		0 		4 	0 		0 	1 		0 		0 		0 		0 	0 	0 	0 	0 			0 	0 	0 		0 			0 					0 	0 		0 	0 		0 	0 		C 	0 		0 		1 			0 	6 
Guadeloupe	0 		0 			0 	0 			0 	0 		0 		0 		0 	0 			0 		0 		0 		0 			0 	0 	0 	0 			0 	0 	10 		0 			0 					0 	0 		0 	0 		0 	0 		C 			0 		17 			0 	27 
Guam	0 		0 			0 	0 			0 	0 		0 		0 		0 	0 			0 		0 		0 		0 			0 	0 	0 	0 			0 	0 	0 		0 			0 					0 	0 		0 	0 		0 	0 		C 			0 		2 			0 	2 
Guatemala	0 		11 			0 	0 	14 		5 	0 		3 	5 	0 		28 	0 	9 	2 	131 		0 		0 		0 		46 	7 	0 	0 	0 			0 	0 	210 		0 			55 			126 		0 	0 		0 	25 		0 	0 		C 	10 	0 	0 		22 			0 	710 
Guernsey	0 		490 		617 	12 	1 	917 	3 	15 	650 	2 	0 		16 	4 	2009 	16 	2774 	5263 	6843 	74 	1 	105 	0 		3371 	6 	829 	3969 	1 	228 	0 		34 	0 	0 	5466 	1 	13 	1 		5477 					2 	58 	C 	0 	35 	286 	185 	0 	3457 	347 	12971 	14 	0 		20060 	28412 		C 	105036 
Guiana, French	0 		0 			0 	0 			57 	0 		0 		0 		0 	0 			0 		0 		0 		0 			0 	0 	0 	0 			0 	0 	0 		0 			0 					0 	0 		0 	0 		0 	0 		C 			0 		0 			0 	57 
Guinea	0 		0 			0 	0 			0 	0 		0 		0 		0 	0 			0 		0 		0 		0 			0 	0 	0 	0 			0 	0 	0 		0 			0 					0 	0 		0 	0 		0 	0 		C 	0 		0 		0 			0 	0 
Guinea-Bissau	0 		0 			0 	0 			0 	0 		0 		0 		0 	0 			0 		0 		0 		0 			0 	0 	0 	0 			0 	0 	0 	0 	0 			0 					0 	7 		0 	0 		0 	0 		C 	0 		0 		0 			0 	7 
Guyana	0 		0 			0 	0 			0 	0 		0 		0 		0 	0 			0 		0 		0 		0 			0 	0 	0 	0 			0 	0 	0 		0 			12 					0 	0 		0 	0 		0 	0 		C 	0 	3 	0 		0 			0 	15 
Haiti	0 		0 			0 	0 			0 	0 		0 		0 		0 	0 			0 		0 		0 		0 			0 	0 	0 	0 			0 	0 	0 		0 			0 					0 	0 		0 	0 		0 	0 		C 	0 		0 		0 			0 	0 
Honduras	0 		3 			0 	0 			0 	0 		43 	11 	0 		45 	0 	C 	2 	101 		0 		0 		0 		2 	9 	0 	0 	0 			0 	0 	272 		0 		1 	56 			26 		0 	0 		0 	0 		0 	0 		C 	137 		0 		11 			C 	720 
Hungary	0 		2711 		309 	0 	423 	509 		4 	0 	0 	0 	0 	6 	580 	997 	24 	110 	2855 	6998 	57 		0 	0 	0 	2249 	2 	813 	497 	0 	84 	1 		51 	5 	68 	14527 	0 	6 	0 		2326 			1 		905 	19 	133 	0 	401 	C 	613 	81 	48 	150 	601 		2 		18674 	15879 		C 	73720 
Iceland	0 		182 		14 	0 	1 	65 		0 	9 		0 		0 	10 	263 	1 	4 	448 	1157 	3 	0 		0 		150 	3 	244 	56 	40 	41 	0 		1 	0 	0 	562 	0 	0 	12 	1 	61 			1 		16 	20 	C 	0 	0 	C 	6 	0 		202 	127 		0 		894 	2099 		C 	6692 
India	0 		406 	49 	341 	2 	0 	7761 	31 	4 	6468 	13 	0 	0 	97 	5 	2035 	0 	866 	5846 	1685 		0 	2 		35 	7176 	14 	420 	6124 	31 	1909 	0 	200 	5 	4 	1 	34167 	324 	0 	80300 	1 	8635 	C 		8 	152 	0 	0 		3 	605 	52815 	0 	49 	863 	C 	2611 	140 	0 		27556 	114266 		C 	364027 
Indonesia	0 	2 	283 	4 	191 	0 	8 	1776 	27 	16 	1172 	1 	0 		0 	1 	1725 	0 	296 	808 	3753 		1 	2 	42 		6843 		730 	6876 	0 	446 	0 	343 	3 	0 	0 	19390 	1995 	C 	4239 		5002 	C 	5 		1271 	C 	0 		1 	985 	17286 	2 	11 	25 	C 	1345 	50 	0 		11197 	46984 		C 	135137 
Iran, Islamic Republic of	0 		0 	4 		0 	0 			0 	0 	5 	0 		0 		0 	0 	C 	36 	0 		0 		0 		406 			0 	0 	5 	0 			0 	0 	0 		0 	55 		0 					0 	0 		0 	0 	C 	0 	0 		C 	0 	10 	0 		0 			0 	520 
Iraq	0 		4 			0 	0 	26 		0 	0 		0 		0 	6 	123 	0 	15 	29 	48 		0 		0 		0 		27 	12 	0 	319 	0 	21 	0 	0 	0 	0 		0 	7 		85 					0 	0 		0 	0 		0 	0 		C 	24 		0 		140 			0 	886 
Ireland	0 	21 	15425 	27 	41523 	146 	247 	7543 	609 	1135 	10833 	423 	120 	0 	1376 	1056 	16912 	816 	24652 	132784 	148801 	1351 	396 	1549 	22 			2954 	97982 	56086 	1480 	2173 	696 	47 	755 	74 	484 	132245 	338 	1796 	121 	34 	81660 	1340 	6 	75 	1 	256 	14938 	69 	17751 	468 	6422 	1238 	496 	16436 	33046 	53013 	818 	9 		265465 	336142 		C 	1534679 
