COUNTRY	Argentina	Aruba	Austria	Bangladesh	Belgium	Brazil	Bulgaria	Canada	Cayman Islands	Chile	China, P.R.: Hong Kong	China, P.R.: Macao	Colombia	Costa Rica	Cyprus	Czech Republic	Denmark	Estonia	Finland	France	Germany	Greece	Hungary	Iceland	India	Indonesia	Ireland	Israel	Italy	Japan	Kazakhstan	Korea, Republic of	Kosovo	Kuwait	Latvia	Lebanon	Lithuania	Luxembourg	Malaysia	Malta	Mauritius	Mexico	Netherlands	New Zealand	Pakistan	Panama	Philippines	Poland	Portugal	Romania	Russian Federation	Saudi Arabia	Singapore	Slovak Republic	Slovenia	South Africa	Spain	Switzerland	Thailand	Turkey	Ukraine	United Kingdom	United States	Venezuela, República Bolivariana de	SEFER + SSIO (**)	Value of Total Investment
St. Kitts and Nevis	0 		0 			2 	0 			0 	0 		0 		0 		0 	0 			0 		0 		0 		0 		0 	0 	0 	0 	0 			0 	0 	0 		0 			0 					0 	0 		128 	0 		0 	0 		C 			0 		0 			0 	130 
St. Lucia	0 		0 			1 	0 		2 	0 	0 		0 		0 		0 	0 			0 		0 		0 		0 			0 	0 	0 	0 			0 	0 	0 		0 			0 					0 	0 		0 	0 		0 	0 		C 	0 		0 		0 	7 		0 	10 
St. Vincent and the Grenadines	0 		1 			0 	0 			0 	0 		0 		0 		0 	0 		0 	0 		13 		0 		0 			0 	0 	0 	0 			0 	0 	1 		0 			0 					0 	0 		0 	0 		0 	0 		C 	141 		0 		0 			0 	157 
Sudan	0 		0 			0 	0 			0 	0 		0 		0 		0 	0 			0 		0 		0 		0 			0 	0 	0 	0 	40 		4 	0 	0 	0 	0 			0 					0 	0 		0 	0 	C 	0 	0 		C 	0 		0 		1 			0 	44 
Suriname	0 		0 			0 	0 			0 	0 		0 		0 		0 	0 			0 		0 		0 		0 			0 	0 	0 	0 			0 	0 	0 		0 			0 					0 	0 		0 	0 		0 	1 		C 	0 		0 		0 			0 	1 
Swaziland	0 		0 			0 	0 			0 	0 		0 		0 		0 	0 			0 		0 		0 		0 			0 	0 	0 	0 			1 	0 	0 	1 	0 			0 					0 	0 		0 	0 		0 	0 	23 	C 	0 		0 		6 			0 	31 
Sweden	0 	2 	5660 	39 	5197 	9 	32 	9179 	43 	130 	1709 	63 	98 	10 	238 	287 	18154 	231 	36072 	43895 	61008 	76 	4 	128 	0 		40469 	81 	5031 	45726 	962 	1245 	0 	0 	387 	4 	89 	76137 	38 	335 	4 	10 	24840 	C 		6 	C 	1155 	703 	1 	5 	1908 	C 	1294 	167 	122 	2553 	26368 	13 	3 		57381 	191449 		24068 	684819 
Switzerland	1 	7 	5216 	11 	5335 	833 	2 	24778 	19 	1569 	1525 	346 	8 	1 	40 	71 	7176 	17 	3631 	28180 	46208 	246 	37 	52 	14 	1 	28149 	665 	8753 	26309 	559 	3615 	0 	111 	18 	160 	3 	78152 	17 	132 	266 	125 	29229 	C 	6 	12 	1 	85 	379 	4 	13 	6119 	C 	15 	137 	695 	5182 		20 	9 	2 	103847 	475812 	873 	5868 	900663 
Syrian Arab Republic	0 		0 			0 	0 			0 	0 		0 		0 		0 	0 			0 		0 		0 		15 			0 	0 	0 	0 	75 		1 	0 	0 		0 			0 					0 	0 		0 	29 		0 	0 		C 	0 		0 		0 			0 	120 
Taiwan Province of China	0 	2 	190 	25 	470 	0 	0 	6406 		2 	5933 	2 	0 	0 	0 	3 	1395 	0 	485 	2938 	2185 		0 	2 	9 	3 	10664 		470 	4887 	0 	1165 	0 			0 	0 	23832 	528 	0 	90 	34 	9246 	C 			C 	C 	14 		0 	2596 	21934 	0 	22 	13 	C 	3101 	4 	0 		50214 	115641 		C 	264506 
Tajikistan	0 		0 			0 	0 			0 	0 		0 		0 		0 	0 			0 		0 		0 		0 			0 	0 	0 	0 			0 	0 	174 		0 			3 					0 	0 		0 	0 		0 	0 		C 	0 		0 		0 			C 	177 
Tanzania	0 		0 			0 	0 			0 	3 		0 		0 		14 	0 	C 	1 	20 		0 		0 		0 		5 	2 	0 	0 	0 			0 	0 	241 		0 	62 		23 					0 	0 		0 	0 		0 	0 	51 	C 	6 		0 		185 			0 	613 
Thailand	0 		176 	2 	160 	0 	0 	2077 	108 	1 	2599 	36 	0 		5 	0 	967 	0 	200 	748 	1837 		1 	1 	23 	32 	4107 		172 	6239 	0 	534 	0 	0 	0 	0 	0 	15662 	868 	0 	402 		4018 	C 		0 	112 	0 	0 		0 	1091 	9516 	0 	5 	10 	C 	1008 		0 		9362 	36178 		C 	98259 
Timor-Leste, Dem. Rep. of	0 		0 			0 	0 			0 	0 		0 		0 		0 	0 			0 		0 		0 		0 			0 	0 	0 	0 			0 	0 	0 		0 			0 					0 	0 		0 	0 	C 	0 	0 		C 	0 		0 		0 			0 	0 
Togo	0 		0 			0 	0 			0 	4 		0 		0 		0 	0 	C 	1 	3 		0 		0 		5 			0 	0 	0 	0 			0 	0 	85 	0 	0 	3 		0 					0 	0 		0 	0 		0 	0 		C 	0 		0 		2 			0 	104 
Tokelau Islands	0 		0 			0 	0 			0 	0 		0 		0 		0 	0 			0 		0 		0 	0 	0 			0 	0 	0 	0 			0 	0 	0 		0 			0 					0 	0 		0 	0 		0 	0 		C 			0 		0 			0 	0 
Tonga	0 		0 			0 	0 			0 	0 		0 		0 		0 	0 			0 		0 		0 		0 			0 	0 	0 	0 			0 	0 	0 		0 			0 					0 	0 		0 	0 		0 	0 		C 	0 		0 		0 			0 	0 
Trinidad and Tobago	0 		26 			0 	0 	37 	50 	3 	0 		0 		0 		57 	0 	C 	0 	171 		0 		0 		1 		3 	114 	0 	6 	0 			0 	0 	100 		0 			63 			25 		0 	0 		0 	13 		0 	0 		C 	4 		0 		76 	1042 		C 	1791 
Tunisia	0 		59 		8 	0 	0 	1 		0 	6 		0 		22 		13 	0 		420 	213 		0 		0 		191 		101 	998 	0 	0 	0 	21 	1 	0 	0 	30 	0 	C 	19 		49 					0 	0 		0 	45 		0 	0 		C 	4 		0 		60 	641 		C 	2902 
Turkey	0 	2 	1482 	60 	327 	0 	172 	1281 	134 	6 	303 	2 	0 	3 	9 	145 	1994 	75 	777 	2828 	7308 	990 	81 	0 	0 	3 	7016 	65 	1305 	5929 	0 	327 	0 	259 	29 	94 	26 	17858 	169 	18795 	126 		5794 	19 	20 	12 	C 	1034 	20 	246 	1 	2403 	C 	64 	46 	35 	C 	1942 	2593 			17296 	45678 		C 	147185 
Turkmenistan	0 		0 			0 	0 			0 	0 		0 		0 		0 	0 			0 		0 		0 		0 			0 	0 	0 	0 			0 	0 	0 		0 			0 					0 	0 		0 	0 		0 	0 		C 	0 		0 		9 			C 	9 
Turks and Caicos Islands	0 		0 			225 	0 			0 	0 		0 		0 		0 	0 		5 	0 		0 		0 		0 		2 	3 	0 	12 	0 			0 	0 	7 		0 			0 					0 	0 		0 	0 		0 	0 		C 	54 		0 		0 	117 		0 	426 
Tuvalu	0 		0 			0 	0 			0 	0 		0 		0 		0 	0 			0 		0 		0 		0 			0 	0 	0 	0 			0 	0 	0 		0 			0 					0 	0 		0 	0 		0 	0 		C 	0 		0 		0 			0 	0 
Uganda	0 		0 			0 	0 			0 	5 		0 		1 		0 	0 	C 		0 		0 		0 		7 			2 	0 	0 	0 			0 	0 	76 		0 	36 		0 					0 	0 		0 	0 	C 	0 	0 	31 	C 	0 		0 		95 	203 		0 	455 
Ukraine	0 		86 	2 	3 	2 	10 	208 		0 	8 		0 		15 	1 	430 	4 	17 	272 	145 	112 	1 	1 	0 		609 	2 	238 	89 	0 	21 	0 		10 	2 	25 	4219 		0 	1 		586 			0 		C 	0 	6 	3008 	136 	C 	14 	0 		C 	75 		7 		569 	7394 		C 	18328 
United Arab Emirates	0 		318 	26 	247 	0 	4 	530 	4 	5 	1388 	162 	0 		6 	4 	257 	29 	204 	1656 	3384 	7 	0 	0 	2 	2 	2264 		412 	1317 	1 	216 	0 	2420 	2 	365 	2 	6309 	662 	C 	112 		1472 	2 	50 	2 	C 	C 	20 		0 	8335 	C 	0 	5 	2 	C 	7019 	303 	1 		3835 			C 	43364 
United Kingdom	21 	34 	18466 	253 	33592 	258 	1401 	91761 	467 	5103 	61507 	901 	402 	132 	762 	524 	27936 	133 	22964 	277315 	232959 	31463 	96 	1444 	7 	203 	466157 	5720 	70360 	194009 	4610 	13641 	0 	828 	247 	669 	97 	301530 	3581 	3297 	1482 	354 	139107 	4122 	13 	51 	132 	455 	11004 	430 	3752 	13929 	40983 	1911 	497 	79418 	34846 	90576 	363 	70 	49 		1420654 		147255 	3866299 
United States	22092 	356 	27824 	365 	46827 	10661 	526 	672163 	13757 	61203 	93217 	1846 	17217 	547 	183 	2240 	105024 	228 	40034 	261884 	280604 	1464 	1451 	2696 	634 	3276 	616259 	62014 	71465 	1243819 	46230 	72819 	168 	1625 	1266 	1866 	151 	817105 	19549 	1096 	1427 	47919 	414875 	19010 	11 	6189 	2298 	2398 	8892 	258 	2042 	61030 	250410 	825 	1453 	21729 	24853 	222505 	5012 	227 	51 	976965 		6141 	2262858 	8963134 
Uruguay	3 		38 		3 	44 	0 	88 		69 	13 		0 	7 	0 		324 	0 	50 	14 	679 		0 		0 		333 		79 	808 	0 	0 	0 		0 	0 	0 	4570 		C 			479 					0 	0 		0 	95 	C 	0 	0 		C 	63 	1 	0 		397 	3349 		C 	11506 
US Pacific Islands	0 		0 			0 	0 			0 	0 		0 		0 		0 	0 			0 		0 		0 					0 	0 	0 	0 			0 	0 	18 		0 	7 		0 					0 	0 		0 	0 		0 	0 		C 			0 		0 			0 	24 
US Virgin Islands	0 		0 			10 	0 			2 	59 		0 		0 		1 	0 	C 	0 	0 		0 		0 		18 	25 	0 	358 	0 	0 	0 			0 	0 	14 	28 	0 			3 					0 	0 		0 	0 	C 	0 	0 	24 	C 			0 		256 			C 	798 
Uzbekistan	0 		0 			0 	0 			0 	0 		0 		0 		0 	0 			0 		0 		0 		4 			0 	0 	4 	0 			0 	0 	3 		0 			0 					0 	0 		0 	0 		0 	0 		C 	0 		0 		0 			C 	11 
Vanuatu	0 		0 			0 	0 			0 	0 		0 		0 		0 	0 			0 		0 		0 		0 			0 	0 	0 	0 			0 	0 	0 		0 			0 					0 	0 		0 	0 		0 	0 		C 	0 		0 		0 			0 	0 
Vatican	0 		0 			0 	0 			0 	0 		0 		0 		0 	0 			0 		0 		0 		0 			0 	0 	0 	0 			0 	0 	0 		0 			0 					0 	0 		0 	0 		0 	0 		C 	0 		0 		0 			0 	0 
Venezuela, Republica Bolivariana de	0 	6 	208 		27 	3 	0 	224 	143 	2 	32 		49 	3 	1 	1 	1045 	1 	36 	622 	1456 	14 	0 		0 		2561 	2 	1662 	368 	0 	100 	0 		6 	83 	1 	4416 		3 			1267 		3 	181 		C 	80 	0 	93 	298 	C 	8 	0 		C 	815 	11 	19 		840 	12174 		C 	28864 
Vietnam	0 		14 	4 	18 	0 	0 	32 		0 	750 		0 		0 	0 	97 	0 	261 	150 	180 		0 		0 	1 	186 		35 	215 	0 	353 	0 		2 	0 	0 	1080 	24 	0 	64 		83 					C 	0 		0 	27 	589 	0 	0 		C 	80 	9 	0 		961 	2512 		C 	7726 
Virgin Islands, British	0 		194 		525 	461 	1 	2284 	465 	1122 	10887 	966 	1 	0 	6 	5 	420 	14 	767 	1711 	3203 	11 	2 	0 	1 	1 	3443 	12 	496 	3903 	4 	597 	0 	9 	8 	5 	4 	13726 	974 	13 	1235 		1825 	C 	12 	23 	C 	13 	120 	C 	40 	39 	3303 	5 	1 	1611 	578 		148 	0 		6356 	72094 		C 	133643 
Wallis and Futuna	0 		0 			0 	0 			0 	0 		0 		0 		0 	0 			0 		0 		0 		0 			0 	0 	0 	0 			0 	0 	0 		0 			0 					0 	0 		0 	0 		0 	0 		C 	0 		0 		0 			0 	0 
West Bank and Gaza	0 		0 			0 	0 			0 	0 		0 		0 		0 	0 			0 		0 		0 		0 			0 	0 	0 	0 			0 	0 	75 		0 			0 					0 	0 		0 	0 		0 	0 		C 	0 		0 		1 			0 	76 
Western Sahara	0 		0 			0 	0 			0 	0 		0 		0 		0 	0 			0 		0 		0 		0 			0 	0 	0 	0 			0 	0 	0 		0 			0 					0 	0 		0 	0 		0 	0 		C 			0 		0 			0 	0 
Yemen, Republic of	0 		0 			0 	0 			0 	0 		0 		0 		0 	0 			0 		0 		0 	1 	0 			0 	0 	0 	0 	9 		0 	0 	0 		0 			0 					0 	0 		0 	0 		0 	0 		C 	0 		0 		0 			0 	10 
Zambia	0 		25 			0 	0 			0 	0 		0 		-2 		58 	0 	15 	40 	134 		0 		0 		8 		20 	11 	0 	0 	0 		0 	0 	0 	417 		0 	14 		93 					0 	0 		0 	0 		0 	0 	63 	C 	11 		0 		390 	411 		0 	1707 
Zimbabwe	0 		0 			0 	0 	2 		0 	0 		0 		1 		6 	0 		1 	4 		0 		0 		100 			0 	0 	0 	0 			0 	0 	101 		0 	265 		0 					0 	0 		0 	0 		0 	0 	81 	C 	0 		0 		0 	159 		0 	722 
Not Specified (including Confidential)	28 		0 	81 	2417 	0 	0 	127 		8148 	1396 		0 	2 	0 	0 	447 	43 	489 	381 	0 		0 	49 	0 	5515 	70738 	13991 	4420 	37 	0 	637 	0 	661 		23 	0 	564 	120 	92621 	1188 	6188 	27614 	19998 		136 	559 	227 	774 	39 	11318 	172 	237654 	0 		303 	29534 	82810 	3985 	7 		164085 	178657 	859 	135818 	1104856 
International Organizations	0 	2 	10395 		14773 	0 	49 	2198 	64 	0 	5817 	182 	734 		2397 	796 	2735 	323 	3747 	90393 	125693 	1243 	8 	2 	0 		16448 		40235 	102701 	1137 	405 	0 		399 	0 	170 	29797 		802 	0 	68 	9733 	111 			102 	157 	1686 	100 	0 	1128 		464 	0 	12 	42418 	31390 		0 		122462 	20874 	59 	252731 	937137 
World	23459 	588 	369329 	2364 	758850 	29217 	7108 	1148216 	42588 	143527 	1136169 	52110 	25142 	1235 	17364 	28361 	442557 	8250 	371637 	3052170 	3292572 	153568 	9135 	11270 	1684 	15285 	2443252 	104296 	1198527 	3542066 	80250 	193329 	1749 	15973 	9614 	6275 	4451 	3713047 	66068 	127521 	107895 	57518 	1956618 	78785 	483 	10084 	6496 	22735 	163882 	3072 	61940 	186430 	965050 	29029 	15619 	175723 	525843 	1355393 	35137 	1334 	187 	4076675 	10008738 	8257 	4429392 	46932488 
