COUNTRY	Argentina	Aruba	Australia	Austria	Bahamas, The	Bahrain, Kingdom of	Barbados	Belgium	Bermuda	Brazil	Bulgaria	Canada	Cayman Islands	Chile	China, P.R.: Hong Kong	China, P.R.: Macao	Colombia	Costa Rica	Cyprus	Czech Republic	Denmark	Egypt	Estonia	Finland	France	Germany	Gibraltar	Greece	Guernsey	Hungary	Iceland	India	Indonesia	Ireland	Isle of Man	Israel	Italy	Japan	Jersey	Kazakhstan	Korea, Republic of	Kuwait	Lebanon	Luxembourg	Malaysia	Malta	Mauritius	Mexico	Netherlands	Netherlands Antilles	New Zealand	Norway	Pakistan	Panama	Philippines	Poland	Portugal	Romania	Russian Federation	Singapore	Slovak Republic	South Africa	Spain	Sweden	Switzerland	Thailand	Turkey	Ukraine	United Kingdom	United States	Uruguay	Vanuatu	Venezuela, República Bolivariana de	SEFER + SSIO (**)	Value of Total Investment
Iran, Islamic Republic of	0 	0 	0 	8 	0 	84 	0 	0 	0 	0 	0 	0 	0 	3 	29 	0 	0 	0 	6 	0 	0 	0 		0 	44 	46 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	7 	0 	0 	0 	0 	0 	0 	90 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	2 		0 	0 	0 	0 	17 	0 	0 	0 	C 	0 	0 	0 	0 	0 	339 
Iraq	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	15 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	C 	0 	0 	0 	0 	0 	16 
Ireland	0 	1 	508 	11195 	261 	689 	130 	13269 	3401 	18 	1 	5843 	616 	2295 	6128 	216 	150 	1 	363 	699 	5074 	2 	30 	7820 	76287 	77594 	24 	1038 	5761 	134 	690 	0 	0 		2116 	119 	48917 	36756 	6431 	60 	857 	49 	36 	38284 	231 	285 	69 	17 	22387 	156 	C 	4236 	0 	3 	18 	133 	18414 	0 	1101 	2407 	124 	4843 	18547 	8146 	16747 	375 	1 	0 	116791 	75368 	2 	0 	0 	13176 	657441 
Isle of Man	0 	0 	0 	57 	0 	0 	0 	0 	0 	0 	0 	3 	0 	0 	0 	0 	0 	0 	0 	0 	13 	0 		0 	0 	47 	0 	14 	77 	0 	0 	0 	0 	8 		0 	19 	233 	48 	0 	0 	0 	0 	132 	37 		1 	0 	28 	0 	0 	4 	0 	0 	0 	0 	0 	0 	1 		0 	255 	0 	0 	52 	55 	0 	0 	1130 	62 	0 	0 	0 	0 	2276 
Israel	0 	0 	C 	248 	0 	0 	0 	82 	153 	10 	0 	690 	152 	0 	9 	3 	0 	0 	39 	5 	208 	0 	1 	14 	417 	556 	0 	5 	101 	5 	5 	0 	0 	418 	0 		289 	977 	43 	0 	0 	0 	0 	2600 	0 		0 	0 	925 	0 	C 	121 	0 	1 	0 	C 	11 	0 	0 	69 	1 	4 	24 	56 	1134 	5 	0 	0 	3233 	44313 	2 	0 	0 	C 	56927 
Italy	10 	1 	0 	16833 	0 	0 	59 	77856 	1822 	18 	43 	5102 	93 	2 	1991 	40 	19 	7 	678 	783 	4941 	57 	112 	7181 	243557 	159906 	15 	1360 	4155 	11 	114 	0 	26 	100979 	14 	62 		62945 	1634 	181 	120 	2 	36 	124908 	13 	544 	0 	2 	91446 	183 	C 	13969 	0 	1 	304 	169 	7131 	4 	38 	3926 	91 	40 	73076 	6807 	10683 	13 	0 	0 	108309 	79393 	38 	10 	3 	34494 	1248358 
Jamaica	0 	1 	0 	17 	0 	0 	9 	46 	0 	0 	0 	0 	5 	1 	1 	0 	0 	1 	0 	0 	83 	0 		0 	21 	149 	0 	0 	1 	0 	0 	0 	0 	9 	0 	0 	22 	20 	7 	0 	0 	0 	0 	109 	0 		0 	0 	9 	8 	0 	0 	0 	1 	0 	0 	0 	0 	0 		0 	0 	86 	0 	53 	0 	0 	0 	327 	446 	0 	0 	0 	C 	1433 
Japan	68 	10 	14804 	2539 	8 	153 	85 	2916 	12579 	3 	1 	33967 	25 	21 	16684 	79 	0 	0 	125 	6 	9039 	149 	4 	2902 	76574 	33196 	24 	81 	4236 	37 	186 	1 	17 	43076 	180 	232 	16450 		2359 	501 	1463 	73 	5 	104740 	51 	40 	1104 	0 	34388 	390 	2181 	21151 	0 	0 	19 	6 	235 	0 	0 	15723 	10 	322 	2573 	13662 	18619 	53 	0 	0 	195936 	520084 	0 	0 	0 	89733 	1295878 
Jersey	0 	0 	C 	4433 	20 	0 	0 	3553 	259 	0 	0 	213 	612 	0 	1190 	0 	7 	0 	31 	152 	1027 	0 		372 	9514 	15644 	0 	1074 	875 	0 	5 	0 	0 	7254 	204 	8 	7622 	16202 		0 	269 	25 	7 	6249 	0 	76 	24 	0 	5802 	80 	0 	92 	0 	0 	0 	250 	3990 	0 	0 	29 	0 	3773 	254 	0 	27540 	0 	0 	0 	50163 	19057 	0 	0 	0 	C 	187952 
Jordan	0 	0 	0 	1 	0 	12 	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 	0 	0 	11 	0 	0 	74 		0 	0 	1 	0 	0 	6 	0 	0 	0 	0 	24 	0 	0 	0 	0 	3 	0 	0 	98 	11 	53 	0 		0 	0 	8 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	65 	72 	0 	0 	0 	0 	441 
