COUNTRY	Argentina	Aruba	Australia	Austria	Bahamas, The	Bahrain, Kingdom of	Barbados	Belgium	Bermuda	Brazil	Bulgaria	Canada	Cayman Islands	Chile	China, P.R.: Hong Kong	China, P.R.: Macao	Colombia	Costa Rica	Curacao and Sint Maarten	Cyprus	Czech Republic	Denmark	Egypt	Estonia	Finland	France	Germany	Gibraltar	Greece	Guernsey	Hungary	Iceland	India	Indonesia	Ireland	Isle of Man	Israel	Italy	Japan	Jersey	Kazakhstan	Korea, Republic of	Kosovo	Kuwait	Latvia	Lebanon	Lithuania	Luxembourg	Malaysia	Malta	Mauritius	Mexico	Netherlands	New Zealand	Norway	Pakistan	Panama	Philippines	Poland	Portugal	Romania	Russian Federation	Singapore	Slovak Republic	Slovenia	South Africa	Spain	Sweden	Switzerland	Thailand	Turkey	Ukraine	United Kingdom	United States	Uruguay	Venezuela, República Bolivariana de	SEFER + SSIO (**)	Value of Total Investment
Mozambique	0 		0 	0 			0 	0 	1 	0 	0 			0 	0 		0 	0 		0 		0 	13 		0 		0 			0 	0 			0 	0 	0 			0 		0 	0 	0 				0 	0 			4 		0 	0 	6 		0 		0 	77 		0 			0 	11 	0 	0 	0 	0 	0 		13 	0 	0 	0 	0 	125 
Myanmar	0 		0 	0 			0 	0 	0 		0 			0 	0 		0 	0 		0 		0 	0 		0 		0 			0 	0 		0 	0 	0 	0 			0 		0 	0 	0 				0 	0 					0 	0 			0 		0 	0 		0 	C 		0 		0 	0 	0 	1 	0 		0 	0 	0 	0 	0 	1 
Namibia	0 		C 	0 			0 	0 	0 		0 		6 	0 	0 		0 	0 		0 		0 	0 		0 		0 			0 	0 			0 	1 	0 			0 	2 	0 	0 	0 				0 	0 	1 		15 		0 	0 	3 		0 		0 	0 		0 			0 	304 	0 	1 	0 	0 	0 		0 	1 	0 	0 	0 	335 
Nauru	0 		0 	0 			0 	0 	0 		0 			0 	0 		0 	0 		0 		0 	0 		0 		0 			0 	0 			0 	0 	0 			0 		0 	0 	0 				0 	0 					0 	0 			0 		0 	0 		0 			0 		0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 
Nepal	0 		0 	0 			0 	0 	0 		0 			0 	0 		0 	0 		0 		0 	0 		0 	3 	0 			0 	0 			0 	0 	0 			0 		0 	0 	0 				0 	0 					0 	0 	14 		0 		0 	0 		0 			0 		0 	0 	0 	0 	0 		10 	0 	0 	0 	C 	27 
Netherlands	2 	13 	16005 	25731 	12 	507 	632 	101397 	15381 	113 	251 	15498 	634 	201 	13135 	529 	41 	60 	257 	1342 	1663 	10013 	13 	443 	15248 	298919 	234017 	19 	1987 	4676 	269 	296 	1 	768 	78849 	145 	806 	82960 	90198 	9462 	927 	2102 	24 	107 	117 	94 	330 	145230 	133 	715 	147 	33 		0 	21655 	0 	24 	90 	1404 	11079 	156 	3938 	C 	1833 	1218 	181 	46312 	10427 	72223 	106 	27 	15 	181844 	232885 	131 	90 	118313 	1876398 
Netherlands Antilles																																																																														
New Zealand	0 	0 	6410 	122 		28 	9 	6 	725 	0 	0 	870 	26 	5 	1263 	42 	21 	2 	0 	0 	0 	17 	0 	0 	0 	612 	584 		0 	229 	0 	0 		4 	573 	1 	68 	22 	5190 	103 	0 	18 	0 			0 	0 	1053 	10 		17 		259 		684 		1 	0 	0 	9 		0 	954 		0 	7 	C 	590 	1138 	6 	0 		5579 	17296 	0 	0 	C 	44558 
Nicaragua	0 		0 	0 			0 	0 	0 		0 			0 	0 		0 	0 		0 		14 	0 		0 		0 			0 	0 			0 	5 	0 		11 	0 		0 	0 	0 				0 	23 					0 	0 			9 		0 	0 		0 			0 		0 	0 	0 	0 	0 		10 	24 	0 	0 	0 	97 
Niger	0 		0 	0 			0 	0 	0 		0 			0 	0 		0 	0 		0 		0 	0 		0 		0 			0 	0 			0 	0 	0 			0 	2 	0 	0 	0 				0 	0 	1 				0 	0 			0 		0 	0 		0 			0 		0 	0 	0 	0 	0 		7 	3 	0 	0 	0 	12 
Nigeria	0 		C 	0 			0 	0 	0 		0 	23 		0 	C 		0 	0 	0 	11 		38 	4 	2 	0 	2 	9 			102 	0 	0 		1 	144 	0 		0 	11 	571 	0 	7 	0 			1 	0 	633 			466 		19 	0 	6 		0 		0 	11 		0 	C 		0 	171 	C 	6 	0 	0 	0 		1750 	0 	0 	0 	0 	3990 
Niue	0 		0 	0 			0 	0 	0 		0 			0 	0 		0 	0 		0 		0 	0 		0 		0 			0 	0 			0 	0 	0 			0 		0 	0 	0 			0 	0 	0 					0 	0 			0 		0 	0 		0 			0 		0 	0 		0 	0 		0 	0 	0 	0 	0 	0 
